,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
0,1073,18.9,45024,6.7,136.7,8.49
1,1097,20.3,42278,8.5,164.2,4.83
2,2020,7.7,76362,5.2,68.6,11.3
3,4003,18.8,45294,9.2,83.3,7.72
4,4013,17.6,52066,6.6,78.5,5.11
5,4015,21.3,38560,10.3,140.5,22.66
6,4019,19.3,43926,6.8,86.4,15.15
7,4021,16.7,49887,8.1,64.1,6.93
8,4025,16.4,40486,7.7,112.6,4.65
9,5119,17.3,46526,6.5,120.2,6.13
10,6001,13,72128,7.2,39.4,2.79
11,6007,21.4,42395,10.3,157.3,4.5
12,6013,10.8,78909,7.5,55.5,3.93
13,6019,28.6,43741,13.3,68.1,5.23
14,6023,21.5,40882,8.1,128.1,14.87
15,6025,22.7,40106,25,59.1,6.23
16,6029,22.7,46688,11.7,65.8,4.63
17,6033,23.3,36973,10.9,171.2,29.75
18,6037,19,54443,9.8,40.3,2.93
19,6039,23.4,41223,12.6,61.9,7.87
20,6045,20.9,42001,8.4,129.4,12.62
21,6047,24.8,41003,14.5,75.0,6.46
22,6053,17.5,55411,10.3,62.9,6.3
23,6059,13.5,73827,6.6,48.7,7.64
24,6061,8.3,73643,7.7,76.3,3.54
25,6065,17.4,53909,9.9,56.6,5.63
26,6067,18.9,52980,8.9,63.6,6.77
27,6071,19.2,52112,9.8,57.6,2.68
28,6073,15.3,61365,7.8,47.8,8.0
29,6075,13.8,76933,5.5,42.4,8.96
30,6077,19.8,51219,12.3,70.2,9.09
31,6079,15,57743,6.8,87.2,7.6
32,6081,8,91061,5.3,38.6,2.68
33,6083,16.2,60803,7.2,64.8,3.9
34,6085,10.5,91843,6.5,30.2,2.52
35,6087,14.9,65282,10.3,74.5,10.02
36,6089,19.7,41236,11.8,160.2,11.73
37,6095,12.9,63398,9.1,56.5,2.59
38,6097,12.4,61020,7.1,70.6,2.42
39,6099,21.8,47808,12.9,106.2,3.43
40,6107,29.6,39657,14.4,84.3,3.96
41,6111,12,76513,7.9,62.3,7.62
42,8001,13.2,54876,8.1,60.3,10.66
43,8005,12.3,61092,6.6,66.1,3.29
44,8013,13.5,71405,5.5,57.1,12.58
45,8031,18.7,51156,6.6,49.0,11.55
46,8035,3.6,105192,5.3,57.5,5.56
47,8041,11.4,57072,7.9,75.7,7.18
48,8059,9.1,68161,6.3,85.2,7.97
49,8069,13.8,59337,5.8,80.6,7.6
50,8101,20.1,41352,9.8,130.0,19.2
51,8123,13.2,58404,6.6,72.9,5.56
52,9001,9.6,81816,7.3,52.4,8.62
53,9003,12.1,63491,8,67.7,12.58
54,9005,7.2,70519,7.1,70.3,14.98
55,9007,7.3,75335,6.7,74.0,11.48
56,9009,12.8,58672,8.5,77.5,13.45
57,9011,9.4,62638,8.1,80.6,17.87
58,9013,6.4,73660,6.9,55.2,6.61
59,9015,13,55948,8.8,82.6,9.35
60,10001,13.5,53811,7.3,91.7,16.53
61,10003,11.9,63033,6.5,83.3,9.28
62,10005,14.8,50207,6.8,118.5,12.1
63,11001,18.8,66326,8.5,41.1,8.35
64,12005,18,45249,7.3,126.4,8.0
65,12009,15,46677,8.3,98.6,3.81
66,12011,15.2,50343,6.8,55.8,5.38
67,12019,9.9,57991,6.3,100.0,10.69
68,12021,13.4,55584,7.1,66.1,7.66
69,12031,17.1,47876,7.5,98.2,9.82
