County,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018,MME per cap 2010,MME per cap 2015,Geography.1
Autauga,"Autauga County, Alabama",54571,54574,54754,55208,54936,54713,54876,54838,55242,55443,55601,1050.8,1084.0,"Autauga County, Alabama"
Baldwin,"Baldwin County, Alabama",182265,182264,183111,186540,190143,194886,199189,202995,207712,212619,218022,1174.1,1148.5,"Baldwin County, Alabama"
Barbour,"Barbour County, Alabama",27457,27457,27330,27350,27174,26944,26758,26294,25819,25158,24881,638.6,577.6,"Barbour County, Alabama"
Bibb,"Bibb County, Alabama",22915,22920,22872,22747,22664,22516,22541,22562,22576,22555,22400,426.8,563.0,"Bibb County, Alabama"
Blount,"Blount County, Alabama",57322,57321,57373,57554,57570,57611,57521,57522,57517,57827,57840,453.5,459.0,"Blount County, Alabama"
Bullock,"Bullock County, Alabama",10914,10911,10878,10677,10607,10551,10665,10400,10381,10176,10138,236.9,87.1,"Bullock County, Alabama"
Butler,"Butler County, Alabama",20947,20943,20942,20878,20687,20374,20343,20176,20029,19898,19680,834.1,941.9,"Butler County, Alabama"
Calhoun,"Calhoun County, Alabama",118572,118594,118477,117797,117257,116541,115995,115536,115018,114664,114277,1741.4,1755.6,"Calhoun County, Alabama"
Chambers,"Chambers County, Alabama",34215,34171,34122,34030,34104,34143,33980,34007,33771,33758,33615,1541.1,1309.3,"Chambers County, Alabama"
Cherokee,"Cherokee County, Alabama",25989,25989,25974,25994,25963,26025,25902,25739,25776,25815,26032,1692.0,1893.6,"Cherokee County, Alabama"
Chilton,"Chilton County, Alabama",43643,43630,43653,43687,43582,43634,43769,43717,43896,44117,44153,1021.2,1099.1,"Chilton County, Alabama"
Choctaw,"Choctaw County, Alabama",13859,13858,13849,13607,13561,13396,13317,13233,13049,12935,12841,850.7,755.9,"Choctaw County, Alabama"
Clarke,"Clarke County, Alabama",25833,25833,25765,25582,25154,25122,24865,24703,24349,24097,23920,1061.3,1108.2,"Clarke County, Alabama"
Clay,"Clay County, Alabama",13932,13930,13897,13686,13432,13404,13440,13413,13393,13367,13275,1196.1,1223.5,"Clay County, Alabama"
Cleburne,"Cleburne County, Alabama",14972,14972,15004,14928,14889,14976,15025,14917,14853,14906,14987,152.4,362.0,"Cleburne County, Alabama"
Coffee,"Coffee County, Alabama",49948,49952,50205,50435,51136,50677,50655,50952,51145,51777,51909,838.3,912.0,"Coffee County, Alabama"
Colbert,"Colbert County, Alabama",54428,54428,54525,54535,54572,54533,54468,54370,54367,54509,54762,1830.0,1857.4,"Colbert County, Alabama"
Conecuh,"Conecuh County, Alabama",13228,13233,13234,13192,13044,12911,12679,12680,12501,12435,12277,1373.6,686.4,"Conecuh County, Alabama"
Coosa,"Coosa County, Alabama",11539,11758,11782,11487,11347,11256,11038,10938,10826,10757,10715,289.4,165.3,"Coosa County, Alabama"
Covington,"Covington County, Alabama",37765,37766,37812,38019,37804,37812,37756,37551,37382,37078,36986,1438.2,1808.7,"Covington County, Alabama"
Crenshaw,"Crenshaw County, Alabama",13906,13898,13874,13899,13921,13854,13859,13857,13922,13861,13824,837.2,718.5,"Crenshaw County, Alabama"
Cullman,"Cullman County, Alabama",80406,80406,80454,80401,80273,80688,81067,81764,82456,82836,83442,1545.0,1604.2,"Cullman County, Alabama"
Dale,"Dale County, Alabama",50251,50249,50390,50112,50284,49772,49417,49349,49301,49254,48956,583.9,394.3,"Dale County, Alabama"
Dallas,"Dallas County, Alabama",43820,43818,43860,43256,42795,41983,41562,40948,40092,39235,38310,900.1,844.5,"Dallas County, Alabama"
DeKalb,"DeKalb County, Alabama",71109,71116,71159,71352,70937,70911,70999,71112,71101,71404,71385,333.2,291.7,"DeKalb County, Alabama"
Elmore,"Elmore County, Alabama",79303,79293,79577,80009,80216,80569,80568,80924,81263,81416,81887,790.0,989.4,"Elmore County, Alabama"
Escambia,"Escambia County, Alabama",38319,38320,38344,38201,38023,37763,37738,37665,37488,36999,36748,988.2,1299.6,"Escambia County, Alabama"
Etowah,"Etowah County, Alabama",104430,104427,104455,104358,104273,103883,103407,103003,102849,102937,102501,1843.4,2051.6,"Etowah County, Alabama"
Fayette,"Fayette County, Alabama",17241,17232,17227,17047,16941,16819,16768,16693,16555,16474,16433,374.5,1387.4,"Fayette County, Alabama"
Franklin,"Franklin County, Alabama",31704,31709,31745,31771,31689,31552,31561,31541,31654,31590,31363,1536.5,1934.2,"Franklin County, Alabama"
Geneva,"Geneva County, Alabama",26790,26787,26782,26759,26927,26682,26597,26636,26498,26410,26314,207.9,374.2,"Geneva County, Alabama"
Greene,"Greene County, Alabama",9045,9043,8995,8905,8850,8749,8585,8509,8483,8318,8233,175.0,309.3,"Greene County, Alabama"
Hale,"Hale County, Alabama",15760,15762,15745,15358,15360,15247,15047,15018,14835,14809,14726,398.4,355.7,"Hale County, Alabama"
Henry,"Henry County, Alabama",17302,17300,17298,17377,17156,17132,17082,17106,17083,17140,17209,208.4,300.7,"Henry County, Alabama"
Houston,"Houston County, Alabama",101547,101554,101790,102470,103365,103638,104156,104268,104239,104373,104722,1417.8,987.8,"Houston County, Alabama"
Jackson,"Jackson County, Alabama",53227,53224,53183,53209,53077,52958,52562,52218,52048,51907,51736,1026.8,902.1,"Jackson County, Alabama"
Jefferson,"Jefferson County, Alabama",658466,658506,658158,657973,657967,659196,659918,660370,660326,659546,659300,1147.5,1039.1,"Jefferson County, Alabama"
Lamar,"Lamar County, Alabama",14564,14564,14494,14287,14245,14210,14067,13925,13927,13902,13844,343.3,800.8,"Lamar County, Alabama"
Lauderdale,"Lauderdale County, Alabama",92709,92709,92736,92606,92664,92706,93013,92477,92457,92591,92387,1153.8,1156.6,"Lauderdale County, Alabama"
Lawrence,"Lawrence County, Alabama",34339,34339,34344,34049,33807,33577,33448,33138,33233,33077,32957,426.4,1020.9,"Lawrence County, Alabama"
Lee,"Lee County, Alabama",140247,140300,140806,144130,148581,151831,154545,157009,159297,161641,163941,502.1,404.4,"Lee County, Alabama"
Limestone,"Limestone County, Alabama",82782,82782,83173,85542,87313,88910,90596,91571,92841,94076,96174,551.7,609.2,"Limestone County, Alabama"
Lowndes,"Lowndes County, Alabama",11299,11296,11289,11139,10853,10665,10498,10353,10253,10104,9974,76.8,1.2,"Lowndes County, Alabama"
Macon,"Macon County, Alabama",21452,21448,21505,21281,20611,20026,19648,19306,19064,18811,18439,298.3,426.8,"Macon County, Alabama"
Madison,"Madison County, Alabama",334811,334811,336093,339527,342713,346633,349807,352989,356821,361665,366519,985.4,882.9,"Madison County, Alabama"
Marengo,"Marengo County, Alabama",21027,21038,20946,20651,20367,20114,19980,19760,19516,19366,19066,906.5,893.2,"Marengo County, Alabama"
Marion,"Marion County, Alabama",30776,30776,30817,30651,30487,30228,30202,30123,29964,29771,29763,2050.0,2111.9,"Marion County, Alabama"
Marshall,"Marshall County, Alabama",93019,93019,93124,93892,94268,94370,94277,94606,95123,95609,96109,1780.3,1837.2,"Marshall County, Alabama"
Mobile,"Mobile County, Alabama",412992,413145,413319,413242,413922,414210,414590,414935,415499,414515,413757,1066.3,1153.3,"Mobile County, Alabama"
Monroe,"Monroe County, Alabama",23068,23067,23007,22796,22582,22171,21927,21717,21545,21302,21067,752.0,831.2,"Monroe County, Alabama"
Montgomery,"Montgomery County, Alabama",229363,229378,229510,229168,228861,228173,227546,227244,227072,227079,225763,669.6,547.4,"Montgomery County, Alabama"
Morgan,"Morgan County, Alabama",119490,119486,119604,120013,120092,119574,119458,119281,118970,118811,119089,1331.2,1283.1,"Morgan County, Alabama"
Pickens,"Pickens County, Alabama",19746,19746,19749,19354,19312,19305,20283,20776,20309,20182,19938,886.8,814.3,"Pickens County, Alabama"
Pike,"Pike County, Alabama",32899,32895,32963,33017,33210,33713,33197,33522,33521,33435,33338,764.6,663.8,"Pike County, Alabama"
Randolph,"Randolph County, Alabama",22913,22916,22937,22743,22534,22548,22355,22598,22508,22683,22725,647.3,769.5,"Randolph County, Alabama"
Russell,"Russell County, Alabama",52947,52947,53307,54831,57482,59133,59211,58837,58208,57028,57781,1284.4,869.0,"Russell County, Alabama"
St. Clair,"St. Clair County, Alabama",83593,83345,83566,83963,84748,85805,85995,86546,87323,87976,88690,905.0,963.2,"St. Clair County, Alabama"
Shelby,"Shelby County, Alabama",195085,195313,196095,197992,200964,204108,206356,209084,211430,213729,215707,1119.7,955.1,"Shelby County, Alabama"
Sumter,"Sumter County, Alabama",13763,13763,13730,13491,13441,13396,13275,13206,12974,12780,12691,298.8,242.4,"Sumter County, Alabama"
Talladega,"Talladega County, Alabama",82291,82283,82100,81777,82078,81513,81450,81055,80468,80022,79828,1142.0,1189.5,"Talladega County, Alabama"
Tallapoosa,"Tallapoosa County, Alabama",41616,41618,41476,41397,41044,41028,40887,40611,40570,40613,40497,588.2,657.3,"Tallapoosa County, Alabama"
Tuscaloosa,"Tuscaloosa County, Alabama",194656,194668,194996,196719,198794,201084,203097,204736,206614,207709,208911,978.5,874.4,"Tuscaloosa County, Alabama"
Washington,"Washington County, Alabama",17581,17581,17627,17354,17146,16897,16868,16828,16610,16532,16378,236.6,358.7,"Washington County, Alabama"
Wilcox,"Wilcox County, Alabama",11670,11667,11564,11442,11308,11152,10953,10903,10851,10712,10627,288.9,348.0,"Wilcox County, Alabama"
Winston,"Winston County, Alabama",24484,24488,24412,24358,24190,24186,24137,23929,23906,23745,23660,1142.3,1392.1,"Winston County, Alabama"
Anchorage,"Anchorage Municipality, Alaska",291826,291829,293310,296154,298233,301155,299927,297613,297216,294264,291538,863.8,808.9,"Anchorage Municipality, Alaska"
Fairbanks North Star,"Fairbanks North Star Borough, Alaska",97581,97585,98260,98104,100305,100928,99256,99630,100683,99725,98971,461.0,413.6,"Fairbanks North Star Borough, Alaska"
Juneau City and,"Juneau City and Borough, Alaska",31275,31275,31386,32152,32378,32587,32476,32601,32400,32061,32113,742.9,577.2,"Juneau City and Borough, Alaska"
Kenai Peninsula,"Kenai Peninsula Borough, Alaska",55400,55400,55561,56302,56906,57015,57565,58029,58452,58522,58533,1362.1,1343.7,"Kenai Peninsula Borough, Alaska"
Ketchikan Gateway,"Ketchikan Gateway Borough, Alaska",13477,13519,13566,13665,13723,13716,13801,13706,13714,13882,13918,817.4,731.1,"Ketchikan Gateway Borough, Alaska"
Kodiak Island,"Kodiak Island Borough, Alaska",13592,13606,13650,13806,14038,14089,13904,13766,13710,13519,13345,386.3,199.4,"Kodiak Island Borough, Alaska"
Matanuska-Susitna,"Matanuska-Susitna Borough, Alaska",88995,88992,89735,91716,93670,95877,98104,101068,104157,106383,107610,930.4,869.3,"Matanuska-Susitna Borough, Alaska"
Petersburg,"Petersburg Borough, Alaska",3815,3207,3219,3254,3278,3293,3265,3259,3270,3259,3221,1017.7,682.9,"Petersburg Borough, Alaska"
Valdez-Cordova,"Valdez-Cordova Census Area, Alaska",9636,9636,9655,9738,9730,9776,9475,9322,9318,9224,9164,568.1,470.0,"Valdez-Cordova Census Area, Alaska"
