FIPS,State,County,MME_PerCap_2010,MME_PerCap_2015,Quartile_2015,2010-2015_Change
02050,AK,BETHEL,N/A,N/A,N/A,N/A
02068,AK,DENALI,N/A,N/A,N/A,N/A
02013,AK,ALEUTIANS EAST,N/A,N/A,N/A,N/A
02016,AK,ALEUTIANS WEST,N/A,N/A,N/A,N/A
02240,AK,SOUTHEAST FAIRBANKS,N/A,N/A,N/A,N/A
02070,AK,DILLINGHAM,N/A,N/A,N/A,N/A
02164,AK,LAKE AND PENINSULA,N/A,N/A,N/A,N/A
02185,AK,NORTH SLOPE,N/A,N/A,N/A,N/A
02105,AK,HOONAH-ANGOON,N/A,N/A,N/A,N/A
02230,AK,SKAGWAY,N/A,N/A,N/A,N/A
02188,AK,NORTHWEST ARCTIC,N/A,N/A,N/A,N/A
02270,AK,WADE HAMPTON,N/A,N/A,N/A,N/A
02180,AK,NOME,N/A,N/A,N/A,N/A
02290,AK,YUKON-KOYUKUK,N/A,N/A,N/A,N/A
02282,AK,YAKUTAT,N/A,N/A,N/A,N/A
02100,AK,HAINES,N/A,N/A,N/A,N/A
02060,AK,BRISTOL BAY,N/A,N/A,N/A,N/A
02122,AK,KENAI PENINSULA,1362.1,1343.7,4,Stable
02170,AK,MATANUSKA SUSITNA,930.4,869.3,3,Stable
02020,AK,ANCHORAGE,863.8,808.9,3,Stable
02130,AK,KETCHIKAN GATEWAY,817.4,731.1,3,Decreased
02195,AK,PETERSBURG,1017.7,682.9,3,Decreased
02110,AK,JUNEAU,742.9,577.2,2,Decreased
02261,AK,VALDEZ CORDOVA,568.1,470.0,2,Decreased
02198,AK,PRINCE OF WALES HYDER,N/A,433.2,1,N/A
02090,AK,FAIRBANKS NORTH STAR,461.0,413.6,1,Decreased
02150,AK,KODIAK ISLAND,386.3,199.4,1,Decreased
02220,AK,SITKA,N/A,107.3,1,N/A
02275,AK,WRANGELL,250.3,1.6,1,Decreased
01127,AL,WALKER,4079.3,2813.3,4,Decreased
01093,AL,MARION,2050.0,2111.9,4,Stable
01055,AL,ETOWAH,1843.4,2051.6,4,Increased
01059,AL,FRANKLIN,1536.5,1934.2,4,Increased
01019,AL,CHEROKEE,1692.0,1893.6,4,Increased
01033,AL,COLBERT,1830.0,1857.4,4,Stable
01095,AL,MARSHALL,1780.3,1837.2,4,Stable
01039,AL,COVINGTON,1438.2,1808.7,4,Increased
01015,AL,CALHOUN,1741.4,1755.6,4,Stable
01043,AL,CULLMAN,1545.0,1604.2,4,Stable
01133,AL,WINSTON,1142.3,1392.1,4,Increased
01057,AL,FAYETTE,374.5,1387.4,4,Increased
01017,AL,CHAMBERS,1541.1,1309.3,4,Decreased
01053,AL,ESCAMBIA,988.2,1299.6,4,Increased
01103,AL,MORGAN,1331.2,1283.1,4,Stable
01027,AL,CLAY,1196.1,1223.5,4,Stable
01121,AL,TALLADEGA,1142.0,1189.5,4,Stable
01077,AL,LAUDERDALE,1153.8,1156.6,4,Stable
01097,AL,MOBILE,1066.3,1153.3,4,Stable
01003,AL,BALDWIN,1174.1,1148.5,4,Stable
01025,AL,CLARKE,1061.3,1108.2,4,Stable
01021,AL,CHILTON,1021.2,1099.1,4,Stable
01001,AL,AUTAUGA,1050.8,1084.0,4,Stable
01049,AL,DE KALB,667.5,1069.6,4,Increased
01073,AL,JEFFERSON,1147.5,1039.1,4,Stable
01079,AL,LAWRENCE,426.4,1020.9,4,Increased
01051,AL,ELMORE,790.0,989.4,4,Increased
01069,AL,HOUSTON,1417.8,987.8,4,Decreased
01115,AL,SAINT CLAIR,905.0,963.2,4,Stable
01117,AL,SHELBY,1119.7,955.1,3,Decreased
01013,AL,BUTLER,834.1,941.9,3,Increased
01031,AL,COFFEE,838.3,912.0,3,Stable
01071,AL,JACKSON,1026.8,902.1,3,Decreased
01091,AL,MARENGO,906.5,893.2,3,Stable
01089,AL,MADISON,985.4,882.9,3,Decreased
01125,AL,TUSCALOOSA,978.5,874.4,3,Decreased
01113,AL,RUSSELL,1284.4,869.0,3,Decreased
01047,AL,DALLAS,900.1,844.5,3,Stable
01099,AL,MONROE,752.0,831.2,3,Increased
01107,AL,PICKENS,886.8,814.3,3,Stable
01075,AL,LAMAR,343.3,800.8,3,Increased
01111,AL,RANDOLPH,647.3,769.5,3,Increased
01023,AL,CHOCTAW,850.7,755.9,3,Decreased
01041,AL,CRENSHAW,837.2,718.5,3,Decreased
01035,AL,CONECUH,1373.6,686.4,3,Decreased
01109,AL,PIKE,764.6,663.8,2,Decreased
01123,AL,TALLAPOOSA,588.2,657.3,2,Increased
01083,AL,LIMESTONE,551.7,609.2,2,Increased
01005,AL,BARBOUR,638.6,577.6,2,Stable
01007,AL,BIBB,426.8,563.0,2,Increased
01101,AL,MONTGOMERY,669.6,547.4,2,Decreased
01009,AL,BLOUNT,453.5,459.0,2,Stable
01087,AL,MACON,298.3,426.8,1,Increased
01081,AL,LEE,502.1,404.4,1,Decreased
01045,AL,DALE,583.9,394.3,1,Decreased
01061,AL,GENEVA,207.9,374.2,1,Increased
01029,AL,CLEBURNE,152.4,362.0,1,Increased
01129,AL,WASHINGTON,236.6,358.7,1,Increased
01065,AL,HALE,398.4,355.7,1,Decreased
01131,AL,WILCOX,288.9,348.0,1,Increased
01063,AL,GREENE,175.0,309.3,1,Increased
01067,AL,HENRY,208.4,300.7,1,Increased
