,0,1,2,3,4
"Autauga County, AL",4.14315,1001.0,5.1,1084.0,25.0
"Baldwin County, AL",15.5784,1003.0,5.3,1148.5,30.7
"Barbour County, AL",1.936425,1005.0,8.3,577.6,12.0
"Bibb County, AL",1.6932,1007.0,6.4,563.0,13.2
"Blount County, AL",4.313775,1009.0,5.4,459.0,13.1
"Bullock County, AL",0.778575,1011.0,6.8,87.1,13.4
"Butler County, AL",1.502175,1013.0,6.9,941.9,16.1
"Calhoun County, AL",8.62635,1015.0,6.5,1755.6,17.9
"Chambers County, AL",2.532825,1017.0,5.5,1309.3,13.3
"Cherokee County, AL",1.9332,1019.0,5.0,1893.6,12.5
"Chilton County, AL",3.2922,1021.0,5.5,1099.1,15.1
"Choctaw County, AL",0.978675,1023.0,8.5,755.9,11.6
"Clarke County, AL",1.826175,1025.0,10.8,1108.2,13.0
"Clay County, AL",1.004475,1027.0,5.9,1223.5,10.3
"Cleburne County, AL",1.113975,1029.0,6.0,362.0,12.4
"Coffee County, AL",3.835875,1031.0,5.9,912.0,22.7
"Colbert County, AL",4.077525,1033.0,6.9,1857.4,18.8
"Conecuh County, AL",0.937575,1035.0,8.4,686.4,8.8
"Coosa County, AL",0.81195,1037.0,5.9,165.3,11.0
"Covington County, AL",2.80365,1039.0,6.7,1808.7,15.5
"Crenshaw County, AL",1.04415,1041.0,5.8,718.5,16.3
"Cullman County, AL",6.1842,1043.0,5.0,1604.2,14.9
"Dale County, AL",3.697575,1045.0,5.8,394.3,16.8
"Dallas County, AL",3.0069,1047.0,9.2,844.5,14.2
"DeKalb County, AL",5.332575,1049.0,6.1,291.7,13.0
"Elmore County, AL",6.094725,1051.0,4.7,989.4,22.8
"Escambia County, AL",2.8116,1053.0,6.6,1299.6,12.1
"Etowah County, AL",7.713675,1055.0,5.9,2051.6,16.9
"Fayette County, AL",1.241625,1057.0,6.7,1387.4,14.6
"Franklin County, AL",2.37405,1059.0,5.9,1934.2,13.4
"Geneva County, AL",1.98735,1061.0,5.8,374.2,11.1
"Greene County, AL",0.636225,1063.0,9.9,309.3,11.4
"Hale County, AL",1.112625,1065.0,7.6,355.7,14.4
"Henry County, AL",1.281225,1067.0,6.5,300.7,17.1
"Houston County, AL",7.817925,1069.0,5.8,987.8,20.9
"Jackson County, AL",3.9036,1071.0,6.3,902.1,13.4
"Jefferson County, AL",49.52445,1073.0,5.7,1039.1,31.9
"Lamar County, AL",1.044525,1075.0,5.6,800.8,13.3
"Lauderdale County, AL",6.934275,1077.0,6.3,1156.6,22.5
"Lawrence County, AL",2.492475,1079.0,6.9,1020.9,10.2
"Lee County, AL",11.947275,1081.0,5.2,404.4,34.9
"Limestone County, AL",6.963075,1083.0,5.2,609.2,24.6
"Lowndes County, AL",0.768975,1085.0,10.5,1.2,13.7
"Macon County, AL",1.4298,1087.0,7.6,426.8,20.1
"Madison County, AL",26.761575,1089.0,5.1,882.9,40.6
"Marengo County, AL",1.4637,1091.0,7.1,893.2,15.4
"Marion County, AL",2.2473,1093.0,6.6,2111.9,13.4
"Marshall County, AL",7.134225,1095.0,5.3,1837.2,17.7
"Mobile County, AL",31.162425,1097.0,6.6,1153.3,23.0
"Monroe County, AL",1.615875,1099.0,9.0,831.2,12.5
"Montgomery County, AL",17.0304,1101.0,5.6,547.4,32.3
"Morgan County, AL",8.92275,1103.0,5.5,1283.1,20.9
"Perry County, AL",0.7146,1105.0,10.3,21.6,16.9
"Pickens County, AL",1.523175,1107.0,6.9,814.3,11.8
"Pike County, AL",2.514075,1109.0,6.5,663.8,24.7
"Randolph County, AL",1.6881,1111.0,5.6,769.5,14.6
"Russell County, AL",4.3656,1113.0,5.5,869.0,16.9
"St. Clair County, AL",6.549225,1115.0,5.2,963.2,16.0
"Shelby County, AL",15.85725,1117.0,4.3,955.1,42.2
"Sumter County, AL",0.97305,1119.0,7.7,242.4,18.2
"Talladega County, AL",6.0351,1121.0,6.6,1189.5,13.6
"Tallapoosa County, AL",3.04275,1123.0,5.6,657.3,18.2
"Tuscaloosa County, AL",15.49605,1125.0,5.6,874.4,30.2
"Walker County, AL",4.8411,1127.0,7.4,2813.3,11.1
"Washington County, AL",1.56134,1129.0,8.6,358.7,10.7
"Wilcox County, AL",0.813825,1131.0,14.4,348.0,12.0
