,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
"Aleutians East, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Aleutians West, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Anchorage, AK",AK,71.5,75.5,75.6,74.6,75.1,75.4,75.3,75.3,68,68.2,66.3
"Bethel, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Bristol Bay, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Denali, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Dillingham, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Fairbanks North Star, AK",AK,54.7,58.3,58.5,57.1,54.8,58,58.7,58.7,54.3,50.5,48.4
"Haines, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Hoonah-Angoon, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Juneau, AK",AK,95.3,95.5,99,99.4,92.2,91.3,90.9,90.9,87.6,81.3,79.8
"Kenai Peninsula, AK",AK,89.1,91,101.4,103.1,103,102.6,101.7,101.7,100,100.1,97.9
"Ketchikan Gateway, AK",AK,144.4,135,136.7,136,137.5,138.2,112.7,112.7,100.6,101.8,91.5
"Kodiak Island, AK",AK,69.4,83.8,82.2,79.9,62.2,50.2,47.7,47.7,38.6,34.2,33.6
"Lake and Peninsula, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Matanuska-Susitna, AK",AK,82.5,88.3,93.5,85.9,100.5,97.1,91,91,86.2,78.9,76.4
"Nome, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"North Slope, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Northwest Arctic, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Petersburg, AK",AK,107.4,89.3,62,116.7,107.8,94.5,101.2,101.2,92.2,80.3,71
"Prince of Wales-Hyder, AK",AK,–,–,–,–,–,–,10.7,10.7,59,63.9,56.4
"Sitka, AK",AK,–,–,–,–,–,–,–,–,14.1,10.5,9.5
"Skagway, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Southeast Fairbanks, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Valdez-Cordova, AK",AK,46.5,55,62.5,61.8,61.4,56.6,60.9,60.9,56.7,43,45
"Wade Hampton, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Wrangell, AK",AK,–,29,54.5,12,48.2,–,–,–,0.4,0.4,0.6
"Yakutat, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Yukon-Koyukuk, AK",AK,–,–,–,–,–,–,–,–,–,–,–
"Autauga, AL",AL,134.8,135.8,144.9,147.5,151.7,144.1,157.8,157.8,145.3,129.9,129.6
