County,Opioid Deaths
"Autauga County, Alabama",4.14315
"Baldwin County, Alabama",15.578400000000000
"Barbour County, Alabama",1.936425
"Bibb County, Alabama",1.6932000000000000
"Blount County, Alabama",4.313775000000000
"Bullock County, Alabama",0.778575
"Butler County, Alabama",1.502175
"Calhoun County, Alabama",8.62635
"Chambers County, Alabama",2.532825
"Cherokee County, Alabama",1.9332
"Chilton County, Alabama",3.2922
"Choctaw County, Alabama",0.9786750000000000
"Clarke County, Alabama",1.826175
"Clay County, Alabama",1.004475
"Cleburne County, Alabama",1.113975
"Coffee County, Alabama",3.8358750000000000
"Colbert County, Alabama",4.077525
"Conecuh County, Alabama",0.937575
"Coosa County, Alabama",0.8119500000000000
"Covington County, Alabama",2.80365
"Crenshaw County, Alabama",1.0441500000000000
"Cullman County, Alabama",6.1842
"Dale County, Alabama",3.697575
"Dallas County, Alabama",3.0069
"DeKalb County, Alabama",5.332575
"Elmore County, Alabama",6.0947250000000000
"Escambia County, Alabama",2.8116
"Etowah County, Alabama",7.713675
"Fayette County, Alabama",1.241625
"Franklin County, Alabama",2.37405
"Geneva County, Alabama",1.98735
"Greene County, Alabama",0.636225
"Hale County, Alabama",1.112625
"Henry County, Alabama",1.281225
"Houston County, Alabama",7.817925
"Jackson County, Alabama",3.9036000000000000
"Jefferson County, Alabama",49.52445
"Lamar County, Alabama",1.044525
"Lauderdale County, Alabama",6.9342750000000000
"Lawrence County, Alabama",2.4924750000000000
"Lee County, Alabama",11.947275000000000
"Limestone County, Alabama",6.963075
"Lowndes County, Alabama",0.768975
"Macon County, Alabama",1.4298000000000000
"Madison County, Alabama",26.761575
"Marengo County, Alabama",1.4637
"Marion County, Alabama",2.2473
"Marshall County, Alabama",7.134225000000000
"Mobile County, Alabama",31.162425
"Monroe County, Alabama",1.6158750000000000
"Montgomery County, Alabama",17.0304
"Morgan County, Alabama",8.92275
"Perry County, Alabama",0.7146
"Pickens County, Alabama",1.523175
"Pike County, Alabama",2.514075
"Randolph County, Alabama",1.6881
"Russell County, Alabama",4.3656
"St. Clair County, Alabama",6.549225000000000
"Shelby County, Alabama",15.85725
"Sumter County, Alabama",0.9730500000000000
"Talladega County, Alabama",6.0351
"Tallapoosa County, Alabama",3.0427500000000000
"Tuscaloosa County, Alabama",15.496050000000000
"Walker County, Alabama",4.8411
"Washington County, Alabama",1.5613400000000000
"Wilcox County, Alabama",0.813825
"Winston County, Alabama",1.79295
"Aleutians East Borough, Alaska",0.4235
"Aleutians West Census Area, Alaska",0.7122500000000000
"Anchorage Municipality, Alaska",37.152
"Bethel Census Area, Alaska",2.2523750000000000
"Bristol Bay Borough, Alaska",0.112875
"Denali Borough, Alaska",0.254875
"Dillingham Census Area, Alaska",0.6212500000000000
"Fairbanks North Star Borough, Alaska",12.585375000000000
"Haines Borough, Alaska",0.31587500000000000
"Hoonah-Angoon Census Area, Alaska",0.266
"Juneau City and Borough, Alaska",4.05
"Kenai Peninsula Borough, Alaska",7.306500000000000
"Ketchikan Gateway Borough, Alaska",1.71425
"Kodiak Island Borough, Alaska",1.71375
"Kusilvak Census Area, Alaska",1.02175
"Lake and Peninsula Borough, Alaska",0.19975000000000000
"Matanuska-Susitna Borough, Alaska",13.019625
"Nome Census Area, Alaska",1.245125
"North Slope Borough, Alaska",1.21475
"Northwest Arctic Borough, Alaska",0.9611250000000000
"Petersburg Borough, Alaska",0.40875000000000000
"Prince of Wales-Hyder Census Area, Alaska",0.8145
