,0,1,2,3,4
"Aleutians West Census Area, AK",0.71225,2016,3.3,N/A,16.2
"Bethel Census Area, AK",2.252375,2050,14.2,N/A,12.6
"Bristol Bay Borough, AK",0.112875,2060,7.0,N/A,20.3
"Denali Borough, AK",0.254875,2068,9.0,N/A,44.5
"Dillingham Census Area, AK",0.62125,2070,9.6,N/A,17.4
"Haines Borough, AK",0.315875,2100,10.2,N/A,34.7
"Hoonah-Angoon Census Area, AK",0.266,2105,11.9,N/A,21.9
"Kusilvak Census Area, AK",1.02175,2158,21.6,N/A,4.9
"Lake and Peninsula Borough, AK",0.19975,2164,12.5,N/A,16.0
"Nome Census Area, AK",1.245125,2180,12.7,N/A,14.0
"North Slope Borough, AK",1.21475,2185,6.8,N/A,15.3
"Northwest Arctic Borough, AK",0.961125,2188,16.0,N/A,10.8
"Skagway Municipality, AK",0.1415,2230,11.2,N/A,32.2
"Southeast Fairbanks Census Area, AK",0.856125,2240,10.7,N/A,19.5
"Yakutat City and Borough, AK",0.076625,2282,8.2,N/A,19.6
"Yukon-Koyukuk Census Area, AK",0.677875,2290,17.9,N/A,12.4
"Nevada County, AR",1.11454,5099,3.7,N/A,17.0
"Alpine County, CA",0.051793,6003,6.5,N/A,25.6
"Nevada County, CA",13.162212,6057,4.8,N/A,35.8
"Costilla County, CO",0.35112,8023,4.7,N/A,20.9
"Custer County, CO",0.436335,8027,3.1,N/A,33.3
"Dolores County, CO",0.19532,8033,3.8,N/A,19.8
"Gilpin County, CO",0.56183,8047,2.4,N/A,36.6
"Hinsdale County, CO",0.07486,8053,2.5,N/A,40.8
"Mineral County, CO",0.071915,8079,2.2,N/A,39.3
"Saguache County, CO",0.60857,8109,4.8,N/A,26.0
"San Juan County, CO",0.065455,8111,3.5,N/A,29.8
"Chattahoochee County, GA",0.887744,13053,8.3,N/A,33.0
"Echols County, GA",0.348744,13101,4.3,N/A,6.9
"Glascock County, GA",0.262152,13125,6.0,N/A,9.4
"Quitman County, GA",0.204688,13239,7.2,N/A,8.3
"Talbot County, GA",0.559152,13263,6.7,N/A,12.5
"Taliaferro County, GA",0.141944,13265,6.9,N/A,6.8
"Boise County, ID",0.524216,16015,5.3,N/A,29.2
"Camas County, ID",0.080142,16025,3.6,N/A,20.6
"Custer County, ID",0.302142,16037,5.2,N/A,22.6
"Gallatin County, IL",0.789021,17059,7.6,N/A,12.8
"Stark County, IL",0.842877,17175,7.3,N/A,18.8
"Keokuk County, IA",0.630416,19107,4.3,N/A,18.1
"Chase County, KS",0.134181,20017,3.5,N/A,25.1
"Doniphan County, KS",0.393312,20043,3.9,N/A,17.0
"Kingman County, KS",0.378012,20095,4.4,N/A,23.3
"Stafford County, KS",0.213486,20185,3.7,N/A,22.6
"Wabaunsee County, KS",0.350931,20197,3.6,N/A,22.7
"Wichita County, KS",0.10863,20203,2.3,N/A,20.3
"Gallatin County, KY",2.055796,21077,4.9,N/A,11.9
"Robertson County, KY",0.5015,21201,6.2,N/A,17.2
"Cameron Parish, LA",0.530915,22023,4.4,N/A,12.0
"Talbot County, MD",11.025531,24041,4.2,N/A,37.4
"Keweenaw County, MI",0.395715,26083,8.6,N/A,25.1
"Issaquena County, MS",0.082212,28055,14.0,N/A,6.1
"Quitman County, MS",0.456816,28119,9.7,N/A,11.8
"Holt County, MO",0.708027,29087,3.3,N/A,21.7
"Ralls County, MO",1.625298,29173,4.0,N/A,13.2
"Custer County, MT",0.496944,30017,3.5,N/A,22.4
"Gallatin County, MT",4.398996,30031,2.8,N/A,48.8
"Golden Valley County, MT",0.03402,30037,4.5,N/A,20.6
"Granite County, MT",0.138138,30039,5.9,N/A,25.0
"Judith Basin County, MT",0.081438,30045,3.4,N/A,28.3
"McCone County, MT",0.072618,30055,1.9,N/A,17.4
"Mineral County, MT",0.172998,30061,7.6,N/A,15.2
"Musselshell County, MT",0.195342,30065,5.1,N/A,15.0
"Petroleum County, MT",0.020664,30069,4.7,N/A,25.3
"Treasure County, MT",0.02856,30103,4.2,N/A,23.1
"Wibaux County, MT",0.043722,30109,3.9,N/A,22.7
"Arthur County, NE",0.011184,31005,5.7,N/A,29.9
"Banner County, NE",0.01728,31007,3.4,N/A,17.4
"Chase County, NE",0.093912,31029,2.1,N/A,19.4
"Custer County, NE",0.259848,31041,2.3,N/A,21.7
"Frontier County, NE",0.063528,31063,2.8,N/A,19.5
"Gosper County, NE",0.0486,31073,2.6,N/A,24.1
"Hayes County, NE",0.02136,31085,2.4,N/A,17.2
"Hitchcock County, NE",0.067944,31087,3.6,N/A,17.4
"Holt County, NE",0.24552,31089,2.5,N/A,21.0
"Hooker County, NE",0.016392,31091,3.6,N/A,25.6
"Keya Paha County, NE",0.019008,31103,2.1,N/A,20.6
"Kimball County, NE",0.0882,31105,4.1,N/A,17.5
"Loup County, NE",0.01476,31115,3.3,N/A,22.9
