,,predict_deaths,real_deaths
0,AL,14.705816391341134,7.5
1,AK,14.626153939131505,12.5
2,AZ,13.254334945080364,11.4
3,AR,17.168740748579108,5.9
4,CA,11.350327469184101,4.9
5,CO,15.01153505015659,9.5
6,CT,20.058204680712937,24.5
7,DE,14.671699077823384,16.9
8,FL,13.487212969603931,14.4
9,GA,13.121365255799132,8.8
10,HI,10.66481864816284,5.2
11,ID,13.33820031836934,7.4
12,IL,13.534836510013474,15.3
13,IN,14.567325211973257,12.6
14,IA,12.118255289985722,6.2
15,KS,11.855982268474845,5.1
16,KY,18.280485324955706,23.6
17,LA,14.685160130663665,7.7
18,ME,17.878298222113074,25.2
19,MD,17.45429271682293,29.7
20,MA,21.22550199957271,29.7
21,MI,15.22551391734714,18.5
22,MN,11.528294896552268,7.4
23,MS,16.93124601437544,6.2
24,MO,13.8572066191957,15.9
25,MT,12.788295699126726,4.2
26,NE,9.476970606837307,2.4
27,NV,13.314806876076183,13.3
28,NH,23.93456185919375,35.8
29,NJ,16.17259123154315,16.0
30,NM,14.529524252592612,17.5
31,NY,13.554560555173293,15.1
32,NC,13.75049043858537,15.4
33,ND,11.410810554288027,7.6
34,OH,14.26458806733773,32.9
35,OK,14.490493011518119,11.6
36,OR,12.844022144057643,7.6
37,PA,13.50830202002196,18.5
38,RI,14.230059510136858,26.7
39,SC,13.788551291161484,13.1
40,SD,10.325540987084885,5.0
41,TN,13.820884271274505,18.1
42,TX,11.233457618160157,4.9
43,UT,12.47931341058862,16.4
44,VT,18.519120766626028,18.4
45,VA,14.422510979360673,13.5
46,WA,13.286135870614135,9.4
47,WV,20.587239308712856,43.4
48,WI,12.130099751767974,15.8
49,WY,13.726199755551821,8.7
