,FIPS,Real Values,Test Values
0,1003,6.42,15.845968579422557
1,1043,13.18,16.61089660805075
2,1055,14.63,16.66429034102593
3,1073,20.63,15.888773836649873
4,1089,3.0,15.805888379224251
5,1097,7.98,16.66429034102593
6,1103,11.76,15.888773836649873
7,1115,18.04,15.845968579422557
8,1117,11.13,15.805888379224251
9,1125,5.74,15.930442078456814
10,2020,9.6,15.805888379224251
11,2122,18.79,11.12761701445087
12,2170,10.22,11.12761701445087
13,4003,11.83,16.2914021826918
14,4005,16.1,15.805888379224251
15,4013,17.21,15.805888379224251
16,4015,6.68,16.66429034102593
17,4019,16.17,15.888773836649873
18,4021,8.05,15.845968579422557
19,4025,10.78,16.342085495060772
20,5007,6.97,15.805888379224251
21,5051,11.09,16.66429034102593
22,5119,11.71,16.11163676168601
23,6001,3.36,15.805888379224251
24,6007,6.92,15.930442078456814
25,6013,7.3,15.805888379224251
26,6019,3.52,11.16588495884089
27,6023,11.73,16.2914021826918
28,6025,8.25,11.12761701445087
29,6029,10.71,11.12761701445087
30,6033,32.62,16.66429034102593
31,6037,5.06,15.805888379224251
32,6045,15.98,15.930442078456814
33,6047,7.28,11.12761701445087
34,6059,7.94,15.805888379224251
35,6065,6.04,15.805888379224251
36,6067,4.28,15.805888379224251
37,6071,4.51,15.805888379224251
38,6073,8.23,15.805888379224251
39,6075,16.64,15.805888379224251
40,6077,3.72,15.47424213178397
41,6079,4.58,15.805888379224251
42,6081,5.2,15.805888379224251
43,6083,7.39,15.805888379224251
44,6085,2.94,15.805888379224251
45,6087,8.02,15.805888379224251
46,6089,6.11,15.888773836649873
47,6095,4.48,15.805888379224251
48,6097,8.8,15.805888379224251
49,6099,6.55,13.89284235827797
50,6111,11.28,15.805888379224251
51,8001,13.28,15.805888379224251
52,8005,10.75,15.805888379224251
53,8013,5.83,15.805888379224251
54,8031,12.28,15.805888379224251
55,8041,14.71,15.805888379224251
56,8059,9.65,15.805888379224251
57,8069,6.56,15.805888379224251
58,8077,7.83,15.930442078456814
59,8101,9.55,16.342085495060772
60,8123,8.59,15.805888379224251
61,9001,16.53,15.805888379224251
62,9003,29.91,15.805888379224251
63,9005,39.75,15.805888379224251
64,9007,33.81,15.805888379224251
65,9009,27.52,15.805888379224251
66,9011,32.24,15.805888379224251
67,9013,21.87,15.805888379224251
68,9015,31.62,15.805888379224251
69,10001,31.92,15.888773836649873
70,10003,38.8,15.805888379224251
71,10005,30.09,15.805888379224251
72,11001,25.2,15.805888379224251
73,12001,4.82,15.930442078456814
74,12005,12.41,15.930442078456814
75,12009,32.34,15.845968579422557
76,12011,11.17,15.845968579422557
77,12017,22.31,16.66429034102593
78,12019,20.83,15.805888379224251
79,12021,12.95,15.805888379224251
80,12023,18.44,16.61089660805075
81,12031,26.31,15.845968579422557
82,12033,17.11,15.930442078456814
83,12035,12.49,15.845968579422557
84,12053,11.53,16.61089660805075
85,12055,10.43,16.852449303869225
86,12057,14.82,15.845968579422557
87,12061,10.8,15.845968579422557
88,12069,9.26,15.930442078456814
89,12071,26.37,15.845968579422557
90,12073,4.44,15.930442078456814
91,12081,18.23,15.805888379224251
92,12083,26.11,16.66429034102593
93,12085,14.91,15.805888379224251
94,12086,6.63,15.930442078456814
95,12087,21.33,15.805888379224251
96,12089,17.48,15.805888379224251
97,12091,20.75,15.805888379224251
98,12095,15.28,15.845968579422557
99,12097,18.21,15.930442078456814
100,12099,22.07,15.805888379224251
101,12101,12.97,15.888773836649873
102,12103,14.97,15.930442078456814
103,12105,9.6,15.930442078456814
104,12109,8.65,15.805888379224251
105,12111,8.72,15.888773836649873
106,12113,8.92,15.805888379224251
107,12115,15.0,15.805888379224251
108,12117,16.25,15.805888379224251
109,12119,9.32,15.845968579422557
110,12127,21.37,15.930442078456814
111,13013,13.61,15.805888379224251
112,13015,13.16,15.845968579422557
113,13051,11.07,15.888773836649873
114,13057,13.77,15.805888379224251
115,13063,4.49,16.61089660805075
116,13067,10.44,15.805888379224251
117,13073,9.72,15.805888379224251
118,13077,9.6,15.805888379224251
119,13089,6.87,15.805888379224251
120,13097,12.39,15.805888379224251
121,13115,11.23,16.66429034102593
122,13117,6.34,15.805888379224251
123,13121,9.24,15.805888379224251
124,13135,7.98,15.805888379224251
125,13139,6.93,15.805888379224251
126,13151,12.16,15.805888379224251
127,13215,5.15,16.61089660805075
128,13223,7.32,15.805888379224251
129,13245,18.36,16.852449303869225
130,13297,16.04,15.805888379224251
131,15001,6.47,15.845968579422557
132,15003,3.06,15.805888379224251
133,15009,8.37,15.805888379224251
134,16001,10.21,15.805888379224251
135,16055,6.19,15.845968579422557
136,17007,20.53,15.805888379224251
137,17019,9.05,15.888773836649873
138,17031,19.32,15.805888379224251
139,17037,11.52,15.805888379224251
140,17043,14.54,15.805888379224251
141,17063,19.62,15.805888379224251
142,17089,8.42,15.805888379224251
143,17091,21.81,15.888773836649873
144,17093,10.16,15.805888379224251
145,17097,9.85,15.805888379224251
146,17099,31.98,15.888773836649873
147,17111,15.56,15.805888379224251
148,17113,15.62,15.805888379224251
149,17115,13.37,15.930442078456814
150,17119,33.65,15.805888379224251
151,17143,22.15,15.845968579422557
152,17163,20.3,15.845968579422557
153,17167,14.33,15.805888379224251
154,17179,13.6,15.805888379224251
155,17183,16.93,16.16856189091001
156,17197,15.89,15.805888379224251
157,17201,45.41,15.888773836649873
158,18003,11.46,15.888773836649873
159,18005,13.29,15.805888379224251
160,18011,20.9,15.805888379224251
161,18019,30.67,15.845968579422557
162,18035,10.46,16.66429034102593
163,18039,9.73,15.845968579422557
164,18041,60.75,16.61089660805075
165,18043,20.57,15.805888379224251
166,18047,43.98,15.805888379224251
167,18053,15.17,16.66429034102593
168,18057,8.79,15.805888379224251
169,18059,20.96,15.805888379224251
170,18067,17.0,15.845968579422557
171,18071,34.01,15.845968579422557
172,18081,6.4,15.805888379224251
173,18089,18.79,15.845968579422557
174,18091,12.73,15.930442078456814
175,18095,12.34,16.2914021826918
176,18097,27.76,16.342085495060772
177,18105,11.57,16.2914021826918
178,18109,29.95,15.805888379224251
179,18127,14.15,15.805888379224251
180,18141,16.25,15.888773836649873
181,18157,18.13,15.930442078456814
182,18163,14.37,15.930442078456814
183,18177,54.6,16.66429034102593
184,19113,4.87,15.805888379224251
185,19153,9.44,15.805888379224251
186,19163,6.35,15.805888379224251
187,20091,6.02,15.805888379224251
188,20155,16.04,16.2914021826918
189,20173,5.84,15.845968579422557
190,20177,7.89,15.888773836649873
191,21015,31.93,15.805888379224251
192,21019,57.15,16.49654504567911
193,21029,25.9,15.805888379224251
194,21037,54.75,15.805888379224251
195,21043,40.73,28.2545845903314
196,21049,41.38,15.930442078456814
197,21067,33.05,15.845968579422557
198,21071,33.48,42.94036490486861
199,21073,27.55,15.888773836649873
200,21081,39.81,15.888773836649873
201,21089,31.19,13.257681727756253
202,21111,28.81,15.845968579422557
203,21113,29.67,15.805888379224251
204,21117,48.78,15.805888379224251
205,21151,42.22,15.930442078456814
206,21173,35.46,16.218451010735716
207,21195,20.55,32.9782188332165
208,21199,17.02,16.66429034102593
209,21209,23.2,15.805888379224251
210,22005,16.04,15.805888379224251
211,22033,7.03,15.888773836649873
212,22051,28.8,15.930442078456814
213,22063,11.46,15.805888379224251
214,22071,9.21,17.133261694087736
215,22079,14.55,16.44574360299644
216,22103,27.51,15.805888379224251
217,22117,57.96,25.225077329320445
218,23001,23.22,16.11163676168601
219,23005,20.44,15.805888379224251
220,23011,27.85,15.930442078456814
221,23017,20.83,16.66429034102593
222,23019,25.15,16.61089660805075
223,23025,19.77,16.66429034102593
224,23029,38.11,16.852449303869225
225,23031,26.18,15.805888379224251
226,24003,12.5,15.805888379224251
227,24005,11.35,15.805888379224251
228,24009,11.96,15.805888379224251
229,24013,10.09,15.805888379224251
230,24015,16.53,15.805888379224251
231,24021,9.0,15.805888379224251
232,24025,7.88,15.805888379224251
233,24027,3.4,15.805888379224251
234,24031,2.85,15.805888379224251
235,24033,4.07,15.805888379224251
236,24043,10.6,15.805888379224251
237,24510,24.73,15.930442078456814
238,25001,32.8,15.805888379224251
239,25003,30.87,15.845968579422557
240,25005,37.94,15.805888379224251
241,25009,33.9,15.805888379224251
242,25011,29.59,15.845968579422557
243,25013,43.15,15.888773836649873
244,25015,22.93,15.805888379224251
245,25017,19.69,15.805888379224251
246,25021,23.53,15.805888379224251
247,25023,28.95,15.805888379224251
248,25025,26.26,15.805888379224251
249,25027,33.22,15.805888379224251
250,26021,15.57,15.930442078456814
251,26025,34.95,16.342085495060772
252,26045,18.21,15.805888379224251
253,26049,43.75,16.342085495060772
254,26065,24.94,15.888773836649873
255,26077,14.72,15.845968579422557
256,26081,11.17,15.805888379224251
257,26091,21.37,15.845968579422557
258,26093,13.07,15.805888379224251
259,26099,29.84,15.805888379224251
260,26115,26.59,15.805888379224251
261,26117,18.76,15.930442078456814
262,26121,21.31,16.11163676168601
263,26125,5.48,15.805888379224251
264,26139,7.57,15.805888379224251
265,26147,25.1,15.845968579422557
266,26155,17.6,15.888773836649873
267,26159,14.58,15.845968579422557
268,26161,19.41,15.805888379224251
269,26163,38.6,16.61089660805075
270,27003,8.48,15.805888379224251
271,27037,4.47,15.805888379224251
272,27053,9.93,15.805888379224251
273,27123,4.36,15.805888379224251
274,27137,8.51,15.888773836649873
275,28033,13.74,15.805888379224251
276,28047,8.23,16.61089660805075
277,28049,4.64,16.66429034102593
278,28121,8.45,15.805888379224251
279,29019,13.33,15.845968579422557
280,29021,11.29,15.930442078456814
281,29047,7.31,15.805888379224251
282,29071,29.9,15.845968579422557
283,29077,16.1,16.66429034102593
284,29095,9.14,15.845968579422557
285,29099,45.02,15.805888379224251
286,29113,27.74,15.805888379224251
287,29169,19.23,15.930442078456814
288,29183,26.3,15.805888379224251
289,29189,31.7,15.805888379224251
290,29219,31.69,15.805888379224251
291,29510,69.67,16.66429034102593
292,30063,9.26,15.845968579422557
293,30111,7.49,15.805888379224251
294,31055,4.76,15.805888379224251
295,31109,3.15,15.845968579422557
296,31153,5.96,15.805888379224251
297,32003,11.74,15.845968579422557
298,32019,23.29,15.805888379224251
299,32031,11.38,15.805888379224251
300,33001,40.97,15.805888379224251
301,33005,39.22,15.805888379224251
302,33009,12.25,15.805888379224251
303,33011,35.4,15.805888379224251
304,33013,29.78,15.805888379224251
305,33015,26.52,15.805888379224251
306,33017,33.05,15.805888379224251
307,34001,49.35,15.805888379224251
308,34003,13.13,15.805888379224251
309,34005,35.7,15.805888379224251
310,34007,50.49,15.805888379224251
311,34009,49.7,11.12761701445087
312,34011,63.59,13.11399241915772
313,34013,30.63,15.805888379224251
314,34015,50.1,15.805888379224251
315,34017,19.82,15.805888379224251
316,34019,8.82,15.805888379224251
317,34021,31.37,15.805888379224251
318,34023,21.45,15.805888379224251
319,34025,31.54,15.805888379224251
320,34027,17.0,15.805888379224251
321,34029,35.9,15.805888379224251
322,34031,26.03,15.805888379224251
323,34033,67.09,15.805888379224251
324,34035,13.29,15.805888379224251
325,34037,28.41,15.805888379224251
326,34039,23.29,15.805888379224251
327,34041,32.14,15.805888379224251
328,35001,19.74,15.930442078456814
329,35013,9.65,17.505269925565866
330,35015,17.27,15.845968579422557
331,35039,56.4,16.66429034102593
332,35043,13.09,15.845968579422557
333,35049,18.66,15.805888379224251
334,35061,23.54,16.61089660805075
335,36001,8.79,15.805888379224251
336,36005,22.2,17.42810917915461
337,36007,14.61,15.930442078456814
338,36011,15.56,15.888773836649873
339,36013,15.63,16.61089660805075
340,36025,29.2,16.61089660805075
341,36027,28.26,15.805888379224251
342,36029,18.16,15.845968579422557
343,36037,29.56,15.845968579422557
344,36045,8.95,15.888773836649873
345,36047,8.4,15.805888379224251
346,36051,23.72,15.805888379224251
347,36053,15.54,15.845968579422557
348,36055,25.05,15.805888379224251
349,36059,11.63,15.805888379224251
350,36061,12.89,15.805888379224251
351,36063,19.48,15.888773836649873
352,36065,16.12,15.888773836649873
353,36067,17.11,15.805888379224251
354,36069,12.74,15.805888379224251
355,36071,27.23,15.805888379224251
356,36075,12.72,15.888773836649873
357,36079,20.22,15.805888379224251
358,36081,8.03,15.805888379224251
359,36085,22.89,15.805888379224251
360,36087,8.6,15.805888379224251
361,36103,23.09,15.805888379224251
362,36105,45.03,15.930442078456814
363,36109,9.73,15.845968579422557
364,36111,33.59,15.805888379224251
365,36117,17.77,15.805888379224251
366,36119,14.06,15.805888379224251
367,37001,16.82,15.930442078456814
368,37013,23.36,16.61089660805075
369,37019,18.28,15.805888379224251
370,37021,27.4,15.888773836649873
371,37023,14.38,16.66429034102593
372,37025,21.77,15.805888379224251
373,37027,17.07,16.66429034102593
374,37031,25.89,15.888773836649873
375,37035,11.35,15.888773836649873
376,37049,28.18,15.930442078456814
377,37051,21.67,16.61089660805075
378,37055,41.09,15.805888379224251
379,37057,21.61,16.61089660805075
380,37063,11.05,15.805888379224251
381,37065,19.23,13.71195308604748
382,37067,24.27,15.972047449695625
383,37069,29.6,15.845968579422557
384,37071,16.6,15.888773836649873
385,37081,17.61,15.930442078456814
