,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
0,1003,13.3,48637.0,9.8,143.9,5.57,1.0
1,1073,16.5,43312.0,10.8,134.3,9.11,1.0
2,1097,18.7,39828.0,11.3,150.3,5.34,1.0
3,1117,6.9,65408.0,7.8,122.5,7.78,1.0
4,2020,7.6,72210.0,6.5,74.6,13.9,1.0
5,2090,7.9,64691.0,7.1,57.1,11.55,1.0
6,2122,8.7,57171.0,9.8,103.1,20.07,1.0
7,2170,8.7,70442.0,8.9,85.9,18.42,1.0
8,4003,16.2,43786.0,8.0,83.3,7.69,1.0
9,4013,15.1,53284.0,9.1,82.5,7.55,1.0
10,4015,17.8,39863.0,11.4,139.3,20.53,1.0
11,4019,18.9,43243.0,9.1,93.0,14.35,1.0
12,4021,13.7,49088.0,12.3,65.1,7.15,1.0
13,4025,14.2,40837.0,10.5,104.3,11.37,1.0
14,5007,13.1,49226.0,6.4,96.5,5.08,1.0
15,5031,17.9,39526.0,7.0,177.7,10.47,1.0
16,5033,17.6,39618.0,7.8,126.6,19.48,1.0
17,5119,16.7,42107.0,6.7,119.7,4.74,1.0
18,5131,17.6,39088.0,7.6,203.3,7.99,1.0
19,6001,10.8,68258.0,10.3,43.9,1.67,1.0
20,6005,11.3,54461.0,11.4,133.2,28.77,1.0
21,6007,18.5,41196.0,12.3,167.3,7.28,1.0
22,6013,9.5,75084.0,10.0,59.6,3.66,1.0
23,6017,7.6,68778.0,10.9,83.8,11.64,1.0
24,6019,21.5,45219.0,14.7,69.0,7.05,1.0
25,6023,19.0,35985.0,10.7,142.3,18.69,1.0
26,6029,22.2,46938.0,14.1,65.0,6.63,1.0
27,6033,22.1,36895.0,15.0,166.0,20.18,1.0
28,6037,16.0,54375.0,11.6,41.2,2.78,1.0
29,6041,7.3,86658.0,7.5,56.5,5.18,1.0
30,6045,17.5,41488.0,10.0,129.4,11.4,1.0
31,6047,24.6,39922.0,16.6,70.4,3.96,1.0
32,6053,17.2,57647.0,11.5,69.1,4.87,1.0
33,6059,10.7,71735.0,8.7,51.9,7.77,1.0
34,6065,13.9,55151.0,13.1,56.4,5.82,1.0
35,6067,15.3,52502.0,11.0,63.5,5.61,1.0
36,6071,17.0,52137.0,12.7,54.9,3.28,1.0
37,6073,12.5,60103.0,9.4,47.5,8.0,1.0
38,6075,11.7,70247.0,8.7,44.5,11.47,1.0
39,6077,15.7,52201.0,14.9,66.8,9.89,1.0
40,6079,13.2,55638.0,8.8,83.3,5.59,1.0
41,6081,7.6,84678.0,8.2,40.1,2.1,1.0
42,6083,15.0,58555.0,8.2,69.3,4.28,1.0
43,6085,9.1,84990.0,10.6,31.7,2.32,1.0
44,6087,13.9,60816.0,11.1,87.5,10.77,1.0
45,6089,15.5,42552.0,14.3,169.4,15.23,1.0
46,6095,10.7,65079.0,10.4,56.2,3.66,1.0
47,6097,9.5,61985.0,9.4,71.6,6.88,1.0
48,6099,17.0,48550.0,15.5,106.0,7.23,1.0
49,6107,23.0,39876.0,14.9,87.3,5.72,1.0
50,6109,14.2,48027.0,12.2,176.9,21.49,1.0
51,6111,10.5,71246.0,9.6,64.0,7.36,1.0
52,6113,15.7,56120.0,11.0,63.5,5.01,1.0
53,8001,13.3,53779.0,8.5,57.6,6.89,1.0
54,8005,12.3,56099.0,7.3,62.4,5.33,1.0
55,8013,12.9,63757.0,6.1,62.4,9.21,1.0
56,8031,18.8,46693.0,8.1,47.6,20.71,1.0
57,8035,3.3,100447.0,6.2,59.9,4.62,1.0
58,8041,11.5,55621.0,7.9,75.5,5.43,1.0
59,8059,8.1,66059.0,7.1,81.0,7.52,1.0
60,8069,14.7,56281.0,6.3,77.2,7.75,1.0
61,8101,16.9,39016.0,8.2,120.5,7.6,1.0
62,9001,8.2,78892.0,7.5,53.9,4.94,1.0
63,9003,10.1,61962.0,8.3,70.8,5.16,1.0
64,9005,6.5,67688.0,7.9,71.9,8.95,1.0
65,9009,11.9,60388.0,8.6,76.2,6.63,1.0
66,9011,7.9,63450.0,7.5,82.2,8.77,1.0
67,9013,6.7,78471.0,6.6,54.6,6.56,1.0
68,10001,13.6,50884.0,8.1,84.8,6.87,1.0
69,10003,10.1,62051.0,8.3,91.7,8.01,1.0
70,10005,12.2,50024.0,8.2,123.6,9.24,1.0
71,12001,23.0,38597.0,7.1,91.8,4.46,1.0
72,12005,14.4,43930.0,9.1,135.3,9.55,1.0
73,12009,11.6,45683.0,10.4,106.0,6.27,1.0
74,12011,13.0,48772.0,9.1,75.1,7.1,1.0
75,12019,9.2,57858.0,9.3,108.5,11.63,1.0
76,12021,12.6,53934.0,11.1,75.4,11.3,1.0
77,12031,15.3,47002.0,10.5,104.6,8.14,1.0
78,12033,18.9,40794.0,9.9,145.8,4.71,1.0
79,12053,13.1,40352.0,13.3,127.5,11.05,1.0
80,12057,15.2,47129.0,10.6,101.3,18.86,1.0
81,12061,13.8,43685.0,12.9,109.4,11.68,1.0
82,12069,12.6,42479.0,11.1,96.7,6.09,1.0
83,12071,12.8,45624.0,12.3,89.8,12.09,1.0
84,12081,14.4,45565.0,11.6,98.6,17.15,1.0
85,12083,15.9,38988.0,12.8,102.0,6.04,1.0
86,12085,13.5,50351.0,11.0,89.6,7.56,1.0
87,12086,17.7,41367.0,10.4,37.6,3.9,1.0
88,12091,12.5,49215.0,7.2,120.3,8.28,1.0
89,12095,14.3,46826.0,10.4,66.0,8.49,1.0
90,12097,15.8,42626.0,11.2,74.8,4.52,1.0
91,12099,14.4,49660.0,10.7,82.7,4.9,1.0
92,12101,13.2,40289.0,11.9,115.8,9.51,1.0
93,12103,13.3,43200.0,10.8,104.5,7.87,1.0
94,12105,16.8,41913.0,11.3,90.7,5.01,1.0
95,12111,15.6,44545.0,13.4,76.1,8.02,1.0
96,12113,11.4,53419.0,9.1,131.8,6.69,1.0
97,12115,12.7,45953.0,11.3,99.2,16.96,1.0
98,12117,10.4,56201.0,9.8,78.8,13.82,1.0
99,12127,15.2,41390.0,10.8,103.0,17.18,1.0
100,13045,17.4,45158.0,11.0,133.2,15.39,1.0
101,13051,16.3,42431.0,8.6,100.6,4.2,1.0
102,13057,8.3,66972.0,8.9,80.1,6.13,1.0
103,13067,11.4,62893.0,9.1,78.5,3.21,1.0
104,13077,10.1,59848.0,9.8,90.4,8.76,1.0
105,13089,17.0,50092.0,10.0,50.3,2.03,1.0
106,13113,5.5,77491.0,8.4,94.5,9.48,1.0
107,13121,17.6,56313.0,10.1,59.0,4.86,1.0
108,13135,13.7,58732.0,9.0,57.5,2.76,1.0
109,13139,15.1,49334.0,9.4,107.4,5.6,1.0
110,13151,7.6,63892.0,9.7,87.9,5.51,1.0
111,13223,7.2,63663.0,10.1,82.1,9.24,1.0
112,15003,9.7,67019.0,6.0,36.7,3.18,1.0
113,16001,11.8,53828.0,8.9,83.5,6.95,1.0
114,17019,19.9,42101.0,8.3,72.3,7.0,1.0
115,17031,16.0,52516.0,10.5,44.8,6.7,1.0
116,17043,6.7,73554.0,8.6,52.6,4.93,1.0
117,17089,9.4,66604.0,10.5,46.7,3.72,1.0
118,17091,15.1,49375.0,12.2,81.4,10.61,1.0
119,17097,7.6,76336.0,9.8,58.4,8.13,1.0
120,17099,12.5,52208.0,12.2,84.6,17.54,1.0
121,17111,6.6,74669.0,9.8,66.3,7.47,1.0
122,17113,14.4,56471.0,7.2,62.8,11.26,1.0
123,17119,13.1,50628.0,10.2,109.9,11.15,1.0
124,17143,16.8,47330.0,11.0,86.9,10.16,1.0
125,17163,17.1,46368.0,10.9,72.8,7.08,1.0
126,17197,7.0,72478.0,10.3,58.1,7.7,1.0
127,17201,17.7,44390.0,15.0,101.8,9.81,1.0
128,18035,20.7,35935.0,10.7,139.1,13.62,1.0
129,18039,14.4,43531.0,17.9,86.2,6.08,1.0
130,18089,16.4,47054.0,10.6,91.4,3.63,1.0
131,18095,14.7,41774.0,10.9,155.1,16.72,1.0
132,18097,19.7,41201.0,9.3,102.8,7.46,1.0
133,18127,7.6,60718.0,9.3,100.5,8.56,1.0
134,18141,16.4,43544.0,11.5,94.4,3.75,1.0
135,18163,15.2,42404.0,8.2,154.6,18.44,1.0
136,19153,10.9,54948.0,6.1,88.9,9.4,1.0
137,19163,12.5,50707.0,7.1,75.0,6.11,1.0
138,20091,6.8,72006.0,6.5,77.2,5.01,1.0
139,20173,13.5,48071.0,8.4,110.3,5.05,1.0
140,20177,16.6,46194.0,6.5,118.5,6.79,1.0
141,21013,36.0,24501.0,12.0,365.1,34.88,1.0
142,21015,7.9,67994.0,9.0,137.9,8.51,1.0
143,21019,20.9,37496.0,8.4,201.0,24.31,1.0
144,21049,14.5,44908.0,11.0,176.9,30.89,1.0
145,21067,17.4,46386.0,7.8,98.3,10.26,1.0
146,21071,30.3,29725.0,10.9,353.3,47.93,1.0
147,21111,15.8,44516.0,10.1,131.8,2.71,1.0
148,21113,14.1,46940.0,9.1,117.1,29.07,1.0
149,21121,38.6,22493.0,11.6,139.0,31.33,1.0
150,21195,25.8,32258.0,9.6,324.1,16.86,1.0
151,21203,25.0,29654.0,13.2,102.7,64.43,1.0
152,22051,13.7,46428.0,6.3,125.6,6.02,1.0
153,22103,10.3,58868.0,5.4,142.4,11.68,1.0
154,23001,15.0,40653.0,8.4,102.1,9.27,1.0
155,23005,9.3,52459.0,6.5,83.0,8.51,1.0
156,23019,15.3,40301.0,8.2,102.3,10.41,1.0
157,23031,8.4,54134.0,7.7,75.3,9.64,1.0
158,24005,8.3,64629.0,7.4,77.1,1.5,1.0
159,25001,8.1,56991.0,8.4,88.5,8.8,1.0
160,25005,11.1,54048.0,10.7,91.7,11.69,1.0
161,25009,10.8,62758.0,8.7,69.8,9.34,1.0
162,25013,17.2,46646.0,9.3,90.0,9.08,1.0
163,25015,11.3,56263.0,6.4,71.1,6.33,1.0
164,25017,7.4,77672.0,6.9,53.1,7.69,1.0
165,25021,6.4,79548.0,7.3,60.3,9.76,1.0
166,25023,7.6,70447.0,8.5,74.1,10.15,1.0
167,25025,17.3,53751.0,7.7,52.5,13.12,1.0
168,25027,9.4,62885.0,8.9,79.0,7.42,1.0
169,26005,11.5,50487.0,12.9,49.3,8.99,1.0
170,26049,19.3,41586.0,14.9,125.0,14.95,1.0
171,26065,19.1,42990.0,11.4,89.2,6.41,1.0
172,26077,19.6,42336.0,10.2,94.8,5.62,1.0
173,26081,14.5,47684.0,11.0,83.7,8.15,1.0
174,26093,6.6,68514.0,11.9,65.5,7.18,1.0
175,26099,10.9,50709.0,15.8,103.5,11.44,1.0
176,26115,10.7,53224.0,14.6,100.5,7.22,1.0
177,26121,18.6,38916.0,14.9,142.1,12.73,1.0
178,26125,9.7,62626.0,13.0,78.5,1.17,1.0
179,26139,10.3,52107.0,12.5,64.4,4.95,1.0
180,26147,13.5,45830.0,17.7,98.9,10.97,1.0
181,26155,14.4,42870.0,14.9,104.2,19.8,1.0
182,26161,14.2,54939.0,8.6,67.1,3.49,1.0
183,26163,24.2,38256.0,16.2,95.1,8.92,1.0
184,27003,7.1,67349.0,8.4,66.2,5.16,1.0
185,27037,6.1,69807.0,7.2,63.4,3.53,1.0
186,27053,11.9,61651.0,7.3,55.4,6.02,1.0
187,27123,16.4,48008.0,7.6,54.8,3.95,1.0
188,27137,16.4,43434.0,9.1,94.7,7.99,1.0
189,29047,7.9,57983.0,8.4,92.2,7.28,1.0
190,29071,11.0,49034.0,12.0,103.7,12.82,1.0
191,29077,18.2,37986.0,8.4,140.7,11.68,1.0
192,29095,15.3,45798.0,10.2,87.3,8.2,1.0
193,29099,10.5,53939.0,10.6,90.1,18.37,1.0
194,29183,5.1,68669.0,8.5,87.4,8.13,1.0
195,29187,17.4,38195.0,11.0,169.3,23.13,1.0
196,29189,9.6,56939.0,9.0,80.1,9.11,1.0
197,29510,26.5,34065.0,11.7,57.6,17.88,1.0
198,30063,16.9,40130.0,6.3,107.8,11.04,1.0
199,31055,12.8,49944.0,5.2,69.6,6.64,1.0
200,32003,12.4,53512.0,11.5,91.7,16.29,1.0
201,32023,14.1,43215.0,13.9,120.1,27.0,1.0
202,32031,13.2,53036.0,11.1,95.9,15.56,1.0
203,32510,14.1,52548.0,11.1,149.9,25.27,1.0
204,33011,8.8,64455.0,6.5,75.5,9.0,1.0
205,33013,7.7,61439.0,5.6,90.7,6.82,1.0
206,33015,6.1,70196.0,6.6,76.9,9.49,1.0
207,33017,10.0,55415.0,6.2,99.6,11.38,1.0
208,34023,7.9,74959.0,8.5,52.4,1.37,1.0
209,35001,15.6,45550.0,7.5,84.0,11.14,1.0
210,35013,24.8,35541.0,7.3,54.4,8.28,1.0
211,35043,11.0,57378.0,8.5,63.7,9.3,1.0
212,35049,12.7,52220.0,6.6,101.4,9.08,1.0
213,36005,28.3,32888.0,12.0,34.1,6.61,1.0
214,36027,8.9,68891.0,7.7,65.5,6.4,1.0
215,36029,13.9,46739.0,8.1,87.2,5.66,1.0
216,36047,21.7,42932.0,9.9,27.1,4.86,1.0
217,36055,13.4,50283.0,7.8,60.1,4.84,1.0
218,36059,5.5,92221.0,6.9,50.8,6.23,1.0
219,36061,16.6,68295.0,8.4,45.5,4.23,1.0
220,36063,13.9,42580.0,9.3,100.0,5.55,1.0
221,36067,13.7,49886.0,7.6,54.5,6.87,1.0
222,36071,11.7,68057.0,7.8,65.6,3.76,1.0
223,36075,14.7,45928.0,9.8,40.3,9.83,1.0
224,36081,12.9,54671.0,8.4,26.9,3.52,1.0
225,36085,11.4,65388.0,8.2,59.2,9.64,1.0
226,36087,11.6,78218.0,6.9,39.7,3.24,1.0
227,36103,5.7,82984.0,7.3,69.7,8.94,1.0
228,36119,9.1,77057.0,7.1,41.8,4.87,1.0
229,37001,15.2,43103.0,11.7,91.7,10.67,1.0
230,37003,14.9,40813.0,13.9,35.7,32.39,1.0
231,37019,14.6,44891.0,10.7,123.3,21.74,1.0
232,37021,16.2,40979.0,8.3,104.1,6.35,1.0
233,37023,17.4,36177.0,14.1,134.2,16.45,1.0
234,37025,11.4,52988.0,11.0,108.8,11.93,1.0
235,37027,16.7,35489.0,15.0,116.9,18.12,1.0
236,37031,13.1,44036.0,8.7,114.3,15.23,1.0
237,37035,14.4,42100.0,14.0,131.7,13.58,1.0
238,37045,17.5,38304.0,15.1,144.3,14.26,1.0
239,37047,25.4,33024.0,12.9,175.9,24.07,1.0
240,37051,17.0,41163.0,8.9,84.2,7.56,1.0
241,37057,14.6,43420.0,12.8,91.4,8.0,1.0
242,37067,16.5,45769.0,9.5,87.9,6.89,1.0
243,37071,15.6,40940.0,13.8,141.7,19.91,1.0
244,37081,17.1,44386.0,10.6,86.7,6.4,1.0
245,37089,12.4,44408.0,8.8,98.9,10.4,1.0
246,37097,13.1,47979.0,12.7,106.6,14.52,1.0
247,37101,17.4,49501.0,9.9,73.7,7.21,1.0
248,37109,14.3,48161.0,13.9,98.9,18.05,1.0
249,37119,14.2,53158.0,10.6,64.3,4.07,1.0
250,37125,13.3,45987.0,10.1,114.7,11.46,1.0
251,37129,16.0,44719.0,9.3,114.9,10.99,1.0
252,37133,15.1,41161.0,8.5,79.1,8.09,1.0
253,37147,25.5,36339.0,10.1,87.7,7.25,1.0
254,37151,16.0,38529.0,11.2,78.4,13.46,1.0
255,37159,16.7,42787.0,12.7,92.4,18.04,1.0
256,37161,21.8,34016.0,16.3,71.1,16.28,1.0
257,37171,17.4,34397.0,12.4,169.0,17.69,1.0
258,37183,10.2,63770.0,8.3,64.7,3.51,1.0
259,37193,18.5,36516.0,12.7,109.4,41.87,1.0
260,39017,13.2,53543.0,9.6,104.7,11.46,1.0
261,39025,10.4,57877.0,9.8,124.2,7.63,1.0
262,39035,18.9,40254.0,8.7,76.1,7.0,1.0
263,39041,5.1,84762.0,7.1,76.5,5.86,1.0
264,39045,11.8,52290.0,8.7,102.6,7.56,1.0
265,39049,18.4,47460.0,8.5,119.5,7.27,1.0
266,39061,15.2,46509.0,9.1,102.9,6.23,1.0
267,39085,8.2,53880.0,8.0,86.5,5.65,1.0
268,39095,18.7,40161.0,12.4,111.0,4.74,1.0
269,39099,18.3,39339.0,12.6,123.1,6.67,1.0
270,39113,16.2,41611.0,11.6,117.3,8.41,1.0
271,39141,18.3,41672.0,12.2,155.9,15.41,1.0
272,39153,14.8,47042.0,10.0,106.7,4.24,1.0
273,39155,16.0,40980.0,13.9,110.6,8.05,1.0
274,39165,5.9,68798.0,8.9,83.4,4.73,1.0
275,40019,16.9,37352.0,5.5,185.9,21.09,1.0
276,40021,22.1,33533.0,5.4,99.5,21.51,1.0
277,40027,11.6,51958.0,5.3,130.1,12.31,1.0
278,40037,12.9,40859.0,8.0,114.7,21.57,1.0
279,40089,27.0,29207.0,10.4,126.5,33.33,1.0
280,40101,21.4,33651.0,7.5,126.0,19.81,1.0
281,40109,17.3,41279.0,6.1,144.5,9.84,1.0
282,40119,22.0,36164.0,6.1,96.5,13.01,1.0
283,40121,17.2,37526.0,6.2,197.4,23.97,1.0
284,40123,17.4,36196.0,5.4,113.8,29.5,1.0
285,40125,16.8,38763.0,6.3,171.8,27.54,1.0
286,40131,9.5,56983.0,6.9,114.5,12.71,1.0
287,40135,22.1,31563.0,9.5,67.7,28.43,1.0
288,40143,14.6,46143.0,6.5,134.6,18.9,1.0
289,40145,9.1,55948.0,6.5,43.8,18.02,1.0
290,41005,9.4,60051.0,10.4,96.3,8.82,1.0
291,41029,14.9,45212.0,12.8,136.0,6.43,1.0
292,41039,17.2,40363.0,12.3,113.1,15.96,1.0
293,41043,14.9,46717.0,14.0,118.8,9.48,1.0
294,41047,16.4,43388.0,11.1,82.4,8.3,1.0
295,41051,15.1,50604.0,10.6,82.9,12.92,1.0
296,41067,10.0,61022.0,9.5,75.1,5.91,1.0
297,42003,13.0,46212.0,6.8,85.0,13.42,1.0
298,42007,11.5,44557.0,8.1,88.7,7.04,1.0
299,42011,12.1,53239.0,8.7,61.1,2.44,1.0
300,42017,4.2,75895.0,7.3,76.0,1.76,1.0
301,42019,8.9,54803.0,7.0,75.5,7.09,1.0
302,42021,15.5,38205.0,8.5,114.3,7.63,1.0
303,42045,9.3,61848.0,7.6,81.5,3.4,1.0
304,42051,17.3,35260.0,9.2,136.9,13.1,1.0
305,42069,14.4,43715.0,8.2,120.2,12.14,1.0
306,42071,9.4,55504.0,7.2,62.5,1.94,1.0
307,42077,12.4,52680.0,8.7,51.5,4.03,1.0
308,42089,10.2,54703.0,9.1,92.2,6.49,1.0
309,42091,5.5,74819.0,6.8,68.9,7.67,1.0
310,42095,8.5,57999.0,8.4,73.0,4.72,1.0
311,42101,24.5,36959.0,9.7,79.0,2.05,1.0
312,42129,10.4,47312.0,7.8,82.3,12.05,1.0
313,44003,8.3,58364.0,10.4,101.3,14.99,1.0
314,44007,14.8,47432.0,11.9,80.5,11.5,1.0
315,44009,7.9,66705.0,8.9,84.6,8.62,1.0
316,45003,18.6,43845.0,9.2,94.9,9.46,1.0
317,45019,16.4,46145.0,8.8,86.0,5.77,1.0
318,45045,15.3,45917.0,9.8,117.8,9.4,1.0
319,45077,17.5,40357.0,10.5,108.6,20.98,1.0
320,45083,14.8,40278.0,11.9,123.3,6.0,1.0
321,45091,12.4,50644.0,13.5,77.9,4.92,1.0
322,46103,14.1,46972.0,4.9,81.3,14.02,1.0
323,47009,11.7,45447.0,9.9,138.0,8.97,1.0
324,47011,16.4,39569.0,9.5,169.4,10.17,1.0
325,47037,17.1,46249.0,8.9,112.9,9.98,1.0
326,47065,18.1,43214.0,9.0,162.7,3.01,1.0
327,47093,14.7,45380.0,8.1,173.6,11.18,1.0
328,47125,13.8,46523.0,8.9,93.3,5.92,1.0
329,47145,13.8,39007.0,9.1,176.2,20.23,1.0
330,47149,12.4,53983.0,9.7,110.0,4.25,1.0
331,47157,20.9,41880.0,10.1,93.9,6.61,1.0
332,48029,17.7,45315.0,6.7,65.4,6.41,1.0
333,48039,10.0,66516.0,8.1,74.2,9.05,1.0
334,48085,7.1,77905.0,7.3,66.3,3.79,1.0
335,48113,18.7,46044.0,8.2,63.7,4.9,1.0
336,48121,8.7,70724.0,7.1,74.6,3.08,1.0
337,48141,23.7,36078.0,8.8,40.5,4.58,1.0
338,48157,7.5,80548.0,7.1,48.1,1.93,1.0
339,48167,14.7,55883.0,8.2,96.9,9.39,1.0
340,48201,17.1,50577.0,7.6,69.9,6.25,1.0
341,48339,11.2,65130.0,6.9,81.7,8.97,1.0
342,48355,19.9,41009.0,6.7,92.2,12.42,1.0
343,48367,9.9,62049.0,7.6,67.0,8.64,1.0
344,48423,16.2,46127.0,7.6,132.9,5.79,1.0
345,48439,14.5,53757.0,7.7,79.9,3.25,1.0
346,48453,16.0,53434.0,6.7,72.2,6.36,1.0
347,48479,30.9,37140.0,8.5,34.1,8.95,1.0
348,48491,5.5,69862.0,7.3,75.4,3.16,1.0
349,49011,7.0,66220.0,6.6,81.5,6.62,1.0
350,49035,10.7,56954.0,7.1,91.3,9.15,1.0
351,49049,14.2,57471.0,7.0,73.7,6.14,1.0
352,49057,12.5,53094.0,8.4,95.7,10.96,1.0
353,51015,9.3,50401.0,6.4,36.8,17.6,1.0
354,51041,6.1,70055.0,6.6,75.4,5.43,1.0
355,51059,5.6,102325.0,4.8,37.1,2.53,1.0
356,51087,10.0,57318.0,6.9,84.9,4.92,1.0
357,51089,17.0,35826.0,13.7,72.7,23.9,1.0
358,51153,6.0,88823.0,5.4,45.9,5.66,1.0
359,51179,4.7,88179.0,5.5,64.8,7.91,1.0
360,51185,15.9,36143.0,7.5,191.3,22.19,1.0
361,51550,7.3,63532.0,6.4,85.0,7.27,1.0
362,51700,13.5,48285.0,7.4,76.8,9.94,1.0
363,51710,18.4,41161.0,8.5,65.4,6.21,1.0
364,51760,23.3,37115.0,9.6,65.1,8.84,1.0
365,51770,20.0,35088.0,8.6,141.6,10.31,1.0
366,51810,6.8,59174.0,6.0,67.2,5.52,1.0
367,53005,11.3,57603.0,7.2,119.7,9.93,1.0
368,53009,14.3,43533.0,10.1,168.8,16.88,1.0
369,53011,11.8,56351.0,13.3,72.9,10.92,1.0
370,53015,16.0,45839.0,13.5,105.1,17.63,1.0
371,53025,18.6,45183.0,9.9,94.9,18.32,1.0
372,53027,19.3,37637.0,13.2,125.8,19.32,1.0
373,53033,9.8,67706.0,8.0,71.1,9.0,1.0
374,53035,8.4,60673.0,7.8,80.9,8.84,1.0
