,Unnamed: 0,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate,Strata
2149,263,53005,13.2,59264.0,8.9,109.4,7.05,3.0
2212,326,6045,18.8,42840.0,7.0,127.2,17.07,3.0
3907,135,48201,16.6,56415.0,5.3,46.2,5.62,5.0
4100,328,12086,16.7,49758.0,4.6,28.0,8.94,5.0
4540,768,42097,14.3,45352.0,5.6,82.4,23.91,5.0
8,8,4003,16.2,43786.0,8.0,83.3,7.69,1.0
716,716,44007,17.5,45572.0,11.8,81.2,11.81,1.0
541,541,21089,17.3,40752.0,11.5,139.7,35.22,1.0
93,93,12103,13.3,43200.0,10.8,104.5,7.87,1.0
629,629,36067,14.1,50298.0,8.0,54.1,5.78,1.0
3466,637,13295,18.6,40814.0,5.6,54.8,14.73,4.0
131,131,18095,14.7,41774.0,10.9,155.1,16.72,1.0
2867,38,15003,9.2,76544.0,3.3,35.6,4.31,4.0
3150,321,41029,19.3,44855.0,6.8,114.4,8.94,4.0
4334,562,34009,10.4,64450.0,9.2,74.9,48.1,5.0
2944,115,24031,7.5,98314.0,3.9,37.6,1.92,4.0
332,332,48029,17.7,45315.0,6.7,65.4,6.41,1.0
3803,31,40079,21.6,37005.0,6.9,89.4,22.06,5.0
673,673,39049,18.8,47621.0,8.9,120.3,13.75,1.0
819,819,2020,8.5,71237.0,6.0,75.4,10.49,1.0
209,209,35001,15.6,45550.0,7.5,84.0,11.14,1.0
1339,396,12083,18.6,37287.0,10.2,91.1,2.98,2.0
2404,518,26147,13.8,50303.0,9.6,117.5,15.62,3.0
3780,8,39101,14.8,44783.0,5.1,102.8,32.26,5.0
2232,346,6111,11.5,74967.0,6.6,60.2,7.56,3.0
3270,441,51107,3.7,125900.0,3.6,38.3,3.99,4.0
3461,632,13135,11.3,67197.0,4.7,47.4,6.06,4.0
1450,507,26115,11.8,51898.0,7.7,108.6,17.21,2.0
2874,45,17043,7.1,81616.0,4.8,48.5,8.14,4.0
4572,800,47001,15.3,48679.0,4.0,126.2,44.59,5.0
3058,229,36105,18.1,49161.0,5.4,71.0,24.04,4.0
2676,790,49057,12.3,59293.0,4.4,90.7,15.39,3.0
4156,384,17113,15.6,68895.0,4.2,52.7,13.93,5.0
4435,663,37183,8.9,77641.0,3.9,47.5,10.82,5.0
463,463,12009,13.5,46331.0,11.3,107.9,5.15,1.0
1267,324,2020,9.0,71094.0,5.4,75.3,11.39,2.0
2278,392,12105,18.1,42768.0,7.2,74.7,3.62,3.0
4046,274,6073,11.9,76048.0,4.0,34.3,8.51,5.0
1578,635,40143,16.0,47371.0,5.2,157.2,14.01,2.0
3189,360,44007,17.2,50364.0,6.3,63.7,28.1,4.0
1465,522,29077,17.8,40570.0,5.9,143.1,7.13,2.0
3184,355,42125,10.1,57622.0,5.6,79.8,25.93,4.0
3608,779,27123,13.9,60287.0,3.6,42.0,6.29,4.0
2144,258,51710,23.3,42949.0,7.0,73.2,10.97,3.0
2457,571,35025,16.6,58994.0,4.4,79.4,14.29,3.0
3778,6,39097,11.8,60039.0,3.9,73.0,29.94,5.0
685,685,39151,14.6,42805.0,11.3,115.9,7.46,1.0
3635,806,33005,8.6,57286.0,2.7,65.1,23.75,4.0
4680,908,54011,26.1,38191.0,4.5,106.8,137.96,5.0
3003,174,33001,8.8,63377.0,3.3,82.2,28.03,4.0
414,414,6033,21.0,35914.0,15.1,169.7,27.84,1.0
1441,498,25023,7.8,72795.0,7.0,71.7,11.21,2.0
1659,716,49053,16.0,45305.0,6.9,101.0,17.26,2.0
2504,618,37089,12.9,47286.0,5.1,94.0,9.0,3.0
2383,497,25013,17.7,49072.0,7.6,83.9,10.68,3.0
3366,537,6061,7.2,85326.0,4.5,62.9,2.89,4.0
2225,339,6085,8.5,97219.0,5.2,28.9,2.74,3.0
4396,624,37023,16.6,42179.0,4.2,125.3,23.52,5.0
4153,381,17097,7.7,86242.0,4.6,47.5,7.82,5.0
2543,657,39099,18.9,41316.0,6.7,112.3,18.87,3.0
168,168,25027,9.4,62885.0,8.9,79.0,7.42,1.0
174,174,26093,6.6,68514.0,11.9,65.5,7.18,1.0
1486,543,34021,10.5,67662.0,8.3,60.3,8.15,2.0
2158,272,53063,17.0,47577.0,8.2,93.0,6.05,3.0
176,176,26115,10.7,53224.0,14.6,100.5,7.22,1.0
1712,769,55133,5.9,72656.0,5.8,82.0,7.9,2.0
659,659,37151,18.1,39648.0,12.0,82.0,9.88,1.0
341,341,48339,11.2,65130.0,6.9,81.7,8.97,1.0
207,207,33017,10.0,55415.0,6.2,99.6,11.38,1.0
2770,884,6047,25.9,42879.0,11.4,68.5,7.08,3.0
4403,631,37051,18.6,44065.0,5.7,76.0,24.36,5.0
3990,218,55025,10.9,70815.0,2.9,53.1,16.94,5.0
2597,711,42085,14.6,43559.0,5.9,124.2,9.57,3.0
4250,478,24021,6.7,91727.0,3.7,61.4,7.54,5.0
256,256,37161,21.8,34016.0,16.3,71.1,16.28,1.0
4476,704,39101,16.5,46450.0,5.0,92.0,43.1,5.0
1019,76,29183,6.0,67074.0,6.9,88.8,13.69,2.0
3769,940,39063,10.0,56406.0,3.7,61.5,21.09,4.0
2977,148,26147,12.8,51183.0,6.8,110.6,12.51,4.0
505,505,13245,25.9,37866.0,11.0,107.4,7.98,1.0
2559,673,40021,20.6,38027.0,6.0,116.1,22.76,3.0
4194,422,18177,16.6,44179.0,3.8,82.8,77.06,5.0
1973,87,36105,19.4,46928.0,8.1,85.4,23.48,3.0
4322,550,33003,9.3,58005.0,2.7,65.1,33.29,5.0
1136,193,41047,20.5,44275.0,10.5,87.3,5.33,2.0
347,347,48479,30.9,37140.0,8.5,34.1,8.95,1.0
4526,754,42051,17.9,42892.0,6.9,107.0,28.9,5.0
1304,361,8001,14.9,55695.0,9.4,61.9,13.49,2.0
2372,486,24005,9.8,67766.0,6.1,83.1,3.99,3.0
344,344,48423,16.2,46127.0,7.6,132.9,5.79,1.0
1966,80,36075,18.6,46281.0,9.9,46.7,14.86,3.0
1781,838,12009,15.0,46677.0,8.3,98.6,3.81,2.0
4121,349,13063,16.3,44757.0,5.8,39.4,7.01,5.0
4437,665,37193,18.5,42453.0,4.2,78.8,21.87,5.0
448,448,8101,19.6,39107.0,10.4,125.3,6.29,1.0
1848,905,20173,16.0,48671.0,6.1,114.9,5.14,2.0
1166,223,47011,20.7,38667.0,8.9,183.7,11.99,2.0
3118,289,39063,10.6,55265.0,3.7,67.1,14.56,4.0
2283,397,12117,11.8,56443.0,5.7,59.3,9.94,3.0
4299,527,28047,19.7,46709.0,4.9,108.2,14.63,5.0
665,665,37191,19.7,40274.0,9.2,73.1,8.16,1.0
2691,805,51700,16.7,48440.0,6.3,73.5,8.74,3.0
181,181,26155,14.4,42870.0,14.9,104.2,19.8,1.0
