,pop,edu,employ,MME,strat,income,religion,HIV,depression,deaths
AL,4863300,24.5,5.8,1037.82423,5,46257,0.77,13.5,5,7.5
AK,741894,29,6.9,757.6506955,4,76440,0.45,3.9,3,12.5
AZ,6931071,28.4,5.4,849.2371724,4,53558,0.53,10.9,3,11.4
AR,2988248,22,4,922.8335752,5,44334,0.7,9.7,5,5.9
CA,39250017,32.6,5.5,462.5787694,1,67739,0.49,11.4,4,4.9
CO,5540545,39.4,3.2,618.7235606,2,65685,0.47,7.9,3,9.5
CT,3576452,38.4,5.1,644.4168852,2,73433,0.43,7.4,5,24.5
DE,952065,31,4.5,1028.367243,5,61757,0.52,13,5,16.9
FL,20612439,28.5,4.8,728.0071922,3,50860,0.54,22.9,4,14.4
GA,10310371,29.9,5.4,743.5112469,3,51753,0.66,24.9,4,8.8
HI,1428557,32,3,445.7338809,1,74451,0.47,5.7,2,5.2
ID,1683140,26.8,3.8,829.8435405,4,48728,0.51,2.7,5,7.4
IL,12801539,33.4,5.8,693.5843414,3,60094,0.51,9.9,4,15.3
IN,6633053,25.3,4.4,1074.491972,5,50896,0.54,7.8,4,12.6
IA,3134693,27.7,3.6,762.4174075,4,55172,0.55,4,5,6.2
KS,2907289,32.3,4,686.0230565,2,54520,0.55,4.1,5,5.1
KY,4436974,23.2,5.1,904.4018487,5,45541,0.63,7.9,5,23.6
LA,4681666,23.4,6.1,692.030516,3,46106,0.71,22.1,5,7.7
ME,1331479,30.3,3.8,712.25544,3,52111,0.34,2.2,6,25.2
MD,6016447,39,4.5,707.1539215,3,76596,0.54,17,4,29.7
MA,6811779,42.1,3.9,568.8080003,1,71146,0.33,8.8,5,29.7
MI,9928300,28.1,5,963.394784,5,51584,0.53,7.8,5,18.5
MN,5519952,34.8,3.9,450.7545983,1,64188,0.49,5,6,7.4
MS,2988726,21.3,5.8,739.7295496,3,40910,0.77,14.3,4,6.2
MO,6093000,28.2,4.6,797.4826651,4,50642,0.6,8.3,5,15.9
MT,1042520,30.7,4.1,802.9658607,4,49924,0.48,3,5,4.2
NE,1907116,30.6,3.1,512.1612091,1,55474,0.54,4.6,4,2.4
NV,2940058,23.7,5.7,708.9838731,3,53320,0.49,16.5,3,13.3
NH,1334795,36,2.9,922.1013388,5,70813,0.33,2.5,5,35.8
NJ,8944469,38.1,5,615.5194261,2,73242,0.55,12.3,4,16
NM,2081015,26.9,6.6,651.7169082,2,45710,0.57,5.5,4,17.5
NY,19745289,35.3,4.9,591.88519,1,61311,0.46,14,4,15.1
NC,10146788,29.9,5.1,750.6273941,4,48420,0.65,12.8,5,15.4
ND,757952,28.9,3.1,610.0864006,1,60944,0.53,4.8,5,7.6
OH,11614373,27.2,5,776.9114746,4,51610,0.58,8.8,4,32.9
OK,3923561,24.8,4.8,895.8506565,5,49062,0.66,7.7,5,11.6
OR,4093465,32.3,4.8,819.4555256,4,54748,0.48,4.8,5,7.6
PA,12784227,30.1,5.4,706.0286576,3,56207,0.53,8.5,4,18.5
RI,1056426,33,5.2,608.3542926,1,58826,0.49,7.8,6,26.7
SC,4961119,27,5,822.0500928,4,47790,0.7,14.3,4,13.1
SD,865454,27.8,3,569.788605,1,53746,0.59,4.3,4,5
TN,6651194,26.1,4.7,868.6408412,5,47818,0.73,10.3,5,18.1
TX,27862596,28.7,4.6,522.6928169,1,56139,0.64,15.4,4,4.9
UT,3051217,32.5,3.4,691.4706052,2,63794,0.64,3.4,6,16.4
VT,624594,36.8,3.2,675.2005157,2,57565,0.34,3,5,18.4
VA,8411808,37.6,4.1,623.5238525,2,66916,0.61,10.3,4,13.5
WA,7288000,34.5,5.3,701.3723003,3,64764,0.45,6,5,9.4
WV,1831102,19.9,6.1,904.5276535,5,42620,0.69,4.3,5,43.4
WI,5778708,29,4,648.2320162,2,56115,0.45,4.5,4,15.8
WY,585501,26.7,5.3,622.5835967,2,60570,0.54,1.7,3,8.7
