,id,description,water,vol. sil,non vol sil,humectant,occlusive,shear gel,elastomer,emollient,surfactant,particle,polymer,pres.,total,pred absorb.,pred cream,pred drag-I,pred gloss,pred greasy-5,pred greasy-I,pred oily-I,pred peak,pred silky-5,pred silky-I,pred spread,pred sticky-5,pred sticky-1,pred thick,pred wet ,pred visc,pred yld stress,pred dry time,pred RI8,SSNC absorb.,SE,SSNC cream,SSNC drag-I,SSNC gloss,SSNC greasy-5,SSNC greasy-I,SSNC oily-I,SSNC peak,SSNC silky-5,SSNC silky-I,SSNC spread,SSNC sticky-5,SSNC sticky-1,SSNC thick,SSNC wet ,SSNC study,meas. visc,meas yld stress,meas dry time,act RI 8,SSNC dim 1 all,SSNC dim 2 all,SSNC dim 1 15,SSNC dim 2 15,SSNC dim 1 15 corr,SSNC dim 2 15 corr,pred dim 1,pred dim 2,corr pred dim 1,corr pred  dim 2,surf chassis,elastomer type,polymer system,occlus_elast_sum,occlus_elast_cat
75,ISRM 89,"PFP with MSP-825, horizontal control",46.097,3.5,0.75,3.5,0.0,0.0,39.4,0.65,0.648,4.3,0.73,0.425,100,31.85,37.25,22.91,58.08,10.09,21.35,11.17,33.88,39.93,42.92,71.18,8.95,22.62,36.98,57.2,2269,20,6.7,11.2,26.77,25.82,36.04,16.48,58.38,10.81,24.12,12.69,33.23,52.23,56.88,74.27,12.46,31.03,34.35,61.77,13-0461,1616.0,20.0,6.2,1.2,-1.07,2.46,-0.993,2.9339999999999997,-1.03,2.59,-0.705,2.033,-0.64,1.88,silky,Gransil,Sepigel,39.4,4.0
89,,Ponds Fine Pore,46.097,3.5,0.75,3.5,0.0,0.0,39.4,0.65,0.648,4.3,0.73,0.425,100,31.85,37.25,22.91,58.08,10.09,21.35,11.17,33.88,39.93,42.92,71.18,8.95,22.62,36.98,57.2,2269,20,6.7,11.2,29.29,6.56,33.83,15.12,56.25,11.08,24.12,12.79,32.79,56.88,60.33,76.46,9.29,28.75,33.21,62.39,14-0413,,,,1.6,-1.11,2.65,-1.105,3.2089999999999996,-1.19,2.8,-0.705,2.033,-0.64,1.88,silky,Gransil,Sepigel,39.4,4.0
10,ISRM 18,Vaseline Petroleum Jelly,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,88.57,34.24,34.82,54.49,74.8,81.89,16.62,81.23,13.1,13.41,44.85,43.29,57.05,69.44,15.69,7174,33,0.0,39.2,72.92,245.08,43.07,24.67,53.33,71.03,79.83,16.17,80.2,12.46,12.54,35.87,42.93,53.0,76.32,14.5,11-0238,7326.0,18.0,0.0,41.9,2.02,2.17,2.4219999999999997,1.149,2.29,1.21,2.145,0.662,1.67,0.71,PJ,none,none,100.0,4.0
104,,super silky,40.83,0.0,3.0,3.0,1.0,13.0,33.0,0.0,4.8,0.1,0.57,0.7,100,32.33,37.08,25.3,54.46,10.89,20.89,10.92,40.04,37.68,39.37,64.42,9.69,22.8,39.32,51.08,2743,44,7.9,13.7,27.95,19.2,40.5,21.95,49.65,9.25,23.75,10.55,47.35,36.25,38.16,55.75,5.85,19.5,57.75,51.14,16-0064,5720.0,83.0,6.2,19.3,0.71,2.26,0.233,2.157,0.23,2.01,-0.332,1.899,-0.19,1.78,VICL,homemade,Carbopol/Simulgel,34.0,4.0
54,ISRM 68,Ponds Fine Pore Moisturizer ,46.097,3.5,0.75,3.5,0.0,0.0,39.4,0.65,0.648,4.3,0.73,0.425,100,31.85,37.25,22.91,58.08,10.09,21.35,11.17,33.88,39.93,42.92,71.18,8.95,22.62,36.98,57.2,2269,20,6.7,11.2,33.62,3.13,35.92,20.42,58.83,9.88,22.33,10.46,34.42,46.96,48.17,70.96,11.92,26.25,38.21,61.42,12-0094,2326.0,27.0,6.0,6.5,-0.78,2.04,-0.82,2.387,-0.79,2.18,-0.705,2.033,-0.64,1.88,silky,Gransil,Sepigel,39.4,4.0
42,ISRM 50,high elastomer and emollient and low water,3.69,0.0,0.0,0.0,0.0,0.0,73.17,22.5,0.64,0.0,0.0,0.0,100,49.85,43.98,18.46,54.17,29.49,50.9,13.02,33.94,45.31,47.2,50.84,6.24,15.55,52.97,21.96,5193,18,1.5,12.2,68.11,333.49,42.57,19.47,62.77,30.83,51.43,13.92,33.63,35.96,39.37,58.73,7.57,18.07,50.5,24.73,11-0238,3216.0,16.0,2.0,16.5,-0.18,2.27,0.414,2.224,0.37,2.06,0.622,2.9160000000000004,0.77,2.49,silky,9041/9045,none,73.17,4.0
52,ISRM 66,16080-14 ,43.068999999999996,0.0,3.62,3.0,1.2,13.7,31.986,0.0,2.0,0.05,0.625,0.75,100,32.51,34.61,20.12,56.99,11.08,21.05,10.96,37.39,37.66,39.32,66.69,9.86,23.11,36.94,57.1,2801,49,8.2,13.6,34.62,4.47,33.25,23.79,56.58,11.29,24.92,10.12,39.79,39.88,40.42,72.17,15.67,32.25,35.12,60.25,12-0094,3325.0,21.0,8.3,12.3,-0.4,1.74,-0.7120000000000001,1.9040000000000001,-0.66,1.82,-0.598,2.04,-0.51,1.89,silky,homemade,Aristoflex,33.186,4.0
9,ISRM 17,Ponds Masstige Upper Eye Cream,0.0,16.8,0.0,0.0,0.0,0.0,75.0,6.2,0.1,1.4,0.0,0.5,100,37.98,35.35,16.36,54.08,23.4,43.11,13.12,30.86,55.32,59.15,58.68,6.24,16.95,51.42,15.78,6207,36,0.0,8.9,36.78,1.43,35.2,15.37,50.0,19.87,40.07,11.23,40.07,60.0,68.96,55.23,7.2,20.67,52.6,10.9,11-0238,7800.0,61.0,0.0,9.6,0.52,3.57,0.5379999999999999,4.073,0.46,3.51,0.314,3.5810000000000004,0.49,2.88,invert,9045,none,75.0,4.0
40,ISRM 48,PJ invert (as above) with some D5,5.0,15.0,0.0,15.0,46.588,0.0,0.0,12.412,5.0,0.0,1.0,0.0,100,71.65,51.03,32.15,55.42,52.16,66.39,16.46,63.82,13.53,15.31,34.9,34.97,51.07,72.74,5.77,7584,128,0.0,39.4,75.36,13.8,44.0,27.93,51.2,61.14,71.0,15.0,74.67,12.0,13.87,37.73,39.83,48.1,73.33,15.23,11-0238,6111.0,113.0,1.3,40.6,1.76,1.74,2.226,0.9329999999999999,2.01,1.03,2.286,0.818,1.72,0.85,PJ,none,VP/hexadecene,46.588,4.0
65,ISRM 79,"""63"" type at 0.60 H/V",43.075,0.0,3.6,3.0,1.2,13.7,32.0,0.0,2.0,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,28.88,13.14,37.73,18.92,58.81,10.38,20.46,11.77,39.96,37.96,39.19,62.77,6.85,18.81,39.27,51.42,13-0461,2933.0,69.0,6.2,13.7,-0.21,2.07,-0.361,2.191,-0.28,2.04,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex,33.2,4.0
