,id,description,water,vol. sil,non vol sil,humectant,occlusive,shear gel,elastomer,emollient,surfactant,particle,polymer,pres.,total,pred absorb.,pred cream,pred drag-I,pred gloss,pred greasy-5,pred greasy-I,pred oily-I,pred peak,pred silky-5,pred silky-I,pred spread,pred sticky-5,pred sticky-1,pred thick,pred wet ,pred visc,pred yld stress,pred dry time,pred RI8,SSNC absorb.,SE,SSNC cream,SSNC drag-I,SSNC gloss,SSNC greasy-5,SSNC greasy-I,SSNC oily-I,SSNC peak,SSNC silky-5,SSNC silky-I,SSNC spread,SSNC sticky-5,SSNC sticky-1,SSNC thick,SSNC wet ,SSNC study,meas. visc,meas yld stress,meas dry time,act RI 8,SSNC dim 1 all,SSNC dim 2 all,SSNC dim 1 15,SSNC dim 2 15,SSNC dim 1 15 corr,SSNC dim 2 15 corr,pred dim 1,pred dim 2,corr pred dim 1,corr pred  dim 2,surf chassis,elastomer type,polymer system,occlus_elast_sum,occlus_elast_cat
60,ISRM 74,"""63"" prod/prod",43.068999999999996,0.0,3.62,3.0,1.2,13.7,31.986,0.0,2.0,0.05,0.625,0.75,100,32.51,34.61,20.12,56.99,11.08,21.05,10.96,37.39,37.66,39.32,66.69,9.86,23.11,36.94,57.1,2801,49,8.2,13.6,26.15,40.39,35.19,18.92,59.0,10.88,18.96,11.42,38.5,41.5,42.92,65.77,7.54,19.88,35.42,55.08,13-0461,2546.0,48.0,5.9,10.6,-0.4,2.1,-0.6,2.336,-0.53,2.15,-0.598,2.04,-0.51,1.89,silky,homemade,Aristoflex,33.186,4.0
89,,Ponds Fine Pore,46.097,3.5,0.75,3.5,0.0,0.0,39.4,0.65,0.648,4.3,0.73,0.425,100,31.85,37.25,22.91,58.08,10.09,21.35,11.17,33.88,39.93,42.92,71.18,8.95,22.62,36.98,57.2,2269,20,6.7,11.2,29.29,6.56,33.83,15.12,56.25,11.08,24.12,12.79,32.79,56.88,60.33,76.46,9.29,28.75,33.21,62.39,14-0413,,,,1.6,-1.11,2.65,-1.105,3.2089999999999996,-1.19,2.8,-0.705,2.033,-0.64,1.88,silky,Gransil,Sepigel,39.4,4.0
70,ISRM 84,"""63"" type at 43% starting solids",43.075,0.0,3.6,3.0,1.2,13.7,32.0,0.0,2.0,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,29.88,6.89,35.5,15.84,58.12,8.62,16.46,12.77,38.62,39.62,43.5,64.73,5.32,17.04,38.19,50.92,13-0461,3216.0,63.0,6.5,11.1,-0.3,2.29,-0.498,2.4459999999999997,-0.42,2.23,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex,33.2,4.0
46,ISRM 60,Fenomino 2 HUT NA,43.068999999999996,0.0,3.62,3.0,1.2,13.7,31.986,0.0,2.0,0.05,0.625,0.75,100,32.51,34.61,20.12,56.99,11.08,21.05,10.96,37.39,37.66,39.32,66.69,9.86,23.11,36.94,57.1,2801,49,8.2,13.6,34.08,2.48,33.67,20.29,57.04,11.75,21.54,9.38,37.33,40.38,40.0,76.29,11.21,24.29,33.54,66.29,12-0094,2708.0,36.0,10.3,12.5,-0.63,1.86,-0.965,2.0,-0.99,1.89,-0.598,2.04,-0.51,1.89,silky,homemade,Aristoflex,33.186,4.0
9,ISRM 17,Ponds Masstige Upper Eye Cream,0.0,16.8,0.0,0.0,0.0,0.0,75.0,6.2,0.1,1.4,0.0,0.5,100,37.98,35.35,16.36,54.08,23.4,43.11,13.12,30.86,55.32,59.15,58.68,6.24,16.95,51.42,15.78,6207,36,0.0,8.9,36.78,1.43,35.2,15.37,50.0,19.87,40.07,11.23,40.07,60.0,68.96,55.23,7.2,20.67,52.6,10.9,11-0238,7800.0,61.0,0.0,9.6,0.52,3.57,0.5379999999999999,4.073,0.46,3.51,0.314,3.5810000000000004,0.49,2.88,invert,9045,none,75.0,4.0
39,ISRM 47,PJ invert (as above) with some SFSO,5.0,0.0,0.0,15.0,41.588,0.0,0.0,32.412,5.0,0.0,1.0,0.0,100,113.1,53.34,42.37,55.25,56.54,72.06,17.36,61.34,10.33,8.97,30.12,33.24,38.38,84.1,17.2,8008,165,3.4,46.4,112.8,0.09,45.2,22.2,59.5,57.77,69.83,19.54,53.4,12.5,14.96,49.0,28.77,38.17,64.33,20.36,11-0238,9000.0,304.0,0.0,37.5,1.17,1.58,1.4369999999999998,0.807,1.15,0.91,2.403,-0.106,1.75,-0.08,PJ,none,VP/hexadecene,41.588,4.0
68,ISRM 82,"""63"" type at  8 ppm Pt",43.075,0.0,3.6,3.0,1.2,13.7,32.0,0.0,2.0,0.05,0.625,0.75,100,32.5,34.61,20.12,56.99,11.08,21.05,10.96,37.38,37.67,39.33,66.69,9.86,23.11,36.94,57.09,2801,49,8.2,13.6,28.12,19.22,35.31,16.58,58.12,8.38,15.46,12.42,35.65,46.19,46.31,65.5,6.58,18.0,36.44,52.08,13-0461,3117.0,61.0,7.0,7.5,-0.33,2.45,-0.637,2.614,-0.57,2.35,-0.598,2.041,-0.51,1.89,silky,homemade,Aristoflex,33.2,4.0
24,ISRM 32,Place holder other 53 modified everyday therapeutic -Dow Corning,57.1,0.0,0.0,0.0,0.0,0.0,40.0,0.8,0.75,0.0,0.6,0.75,100,31.36,36.28,20.23,54.61,10.33,21.85,11.16,33.59,39.66,40.15,70.52,6.24,22.82,33.05,59.53,2616,30,10.0,12.6,34.43,9.41,31.4,18.47,58.3,8.67,16.83,10.17,27.2,38.83,39.4,75.17,6.77,17.37,31.73,66.73,11-0238,1172.0,16.0,10.2,13.4,-1.18,1.67,-1.186,1.9680000000000002,-1.31,1.87,-0.7759999999999999,2.103,-0.73,1.94,silky,homemade,Aristoflex,40.0,4.0
5,ISRM 13,Icing Eye Cream,10.0,11.35,0.0,15.3,0.0,0.0,45.57,4.63,1.25,11.7,0.0,0.2,100,35.16,40.16,23.51,54.24,13.84,28.27,11.8,36.42,38.98,44.65,59.86,14.52,28.19,46.01,28.49,2783,14,0.1,12.2,33.93,1.51,48.53,24.7,55.77,11.33,26.0,8.73,41.23,28.9,36.33,49.33,11.33,23.63,53.57,20.37,11-0238,2298.0,38.0,2.4,20.9,0.55,1.72,0.787,1.857,0.64,1.78,0.18600000000000003,2.263,0.37,2.05,invert,9045,none,45.57,4.0
40,ISRM 48,PJ invert (as above) with some D5,5.0,15.0,0.0,15.0,46.588,0.0,0.0,12.412,5.0,0.0,1.0,0.0,100,71.65,51.03,32.15,55.42,52.16,66.39,16.46,63.82,13.53,15.31,34.9,34.97,51.07,72.74,5.77,7584,128,0.0,39.4,75.36,13.8,44.0,27.93,51.2,61.14,71.0,15.0,74.67,12.0,13.87,37.73,39.83,48.1,73.33,15.23,11-0238,6111.0,113.0,1.3,40.6,1.76,1.74,2.226,0.9329999999999999,2.01,1.03,2.286,0.818,1.72,0.85,PJ,none,VP/hexadecene,46.588,4.0
