id,description,water,vol. sil,non vol sil,humectant,occlusive,shear gel,elastomer,emollient,surfactant,particle,polymer,pres.,total,pred absorb.,pred cream,pred drag-I,pred gloss,pred greasy-5,pred greasy-I,pred oily-I,pred peak,pred silky-5,pred silky-I,pred spread,pred sticky-5,pred sticky-1,pred thick,pred wet ,pred visc,pred yld stress,pred dry time,pred RI8,SSNC absorb.,SE,SSNC cream,SSNC drag-I,SSNC gloss,SSNC greasy-5,SSNC greasy-I,SSNC oily-I,SSNC peak,SSNC silky-5,SSNC silky-I,SSNC spread,SSNC sticky-5,SSNC sticky-1,SSNC thick,SSNC wet ,SSNC study,meas. visc,meas yld stress,meas dry time,act RI 8,SSNC dim 1 all,SSNC dim 2 all,SSNC dim 1 15,SSNC dim 2 15,SSNC dim 1 15 corr,SSNC dim 2 15 corr,pred dim 1,pred dim 2,corr pred dim 1,corr pred  dim 2,surf chassis,elastomer type,polymer system
ISRM 08,Dove Body Milk/Dove Essential Nourishment Body Lotion,69.94,7,0,7,0,0,0,12.51,2.5,0,0,1.05,100,43.58,40.48,36.52,68.52,11.17,22.31,10.77,38.73,16.27,17.94,66.7,10.82,27.07,40.42,64.58,1718,46,15.3,31.1,46.31,7.45,45.37,41.57,68.27,13.5,20.07,12.17,40.7,13.8,16.57,60.27,9.87,21.1,47.67,45.97,11-0238,2374,21,17.8,33.2,0.13,0,0.189,-0.072,0.2,0.02,-0.416,0.103,-0.29,0.15,other,none,none
ISRM 09,Dove Intensive Firming Gel Cream,68.373,1,2,18,1,0,0,2.112,6.05,0.1,0.315,1.05,100,38.34,38.49,44.83,65.48,8.91,18.41,10.4,41.91,17.45,16.74,68.61,16.65,34.07,37.69,56.14,1534,53,12.1,31.1,50.57,149.58,32.97,49.5,63.5,8.7,16.5,10.83,40.23,18.63,19.27,75.1,18.33,34.13,33.97,65.9,11-0238,1498,82,11.3,29.5,-0.52,-0.52,-0.681,-0.486,-0.62,-0.47,-0.29,-0.209,-0.14,-0.19,VICL,none,Carbopol
ISRM 10,"Dove Tinderbox (Intensive Cream, Nourishing Care)",54.28,0,0,7,17,0,0,12,8.37,0.2,0.2,0.95,100,49.85,62.45,53.68,56.59,31.16,45.36,12.65,50.05,15.67,13.68,43.96,20.27,39.09,70.26,27.62,2610,108,11.9,38.5,38.33,132.81,68.57,56.17,52.93,35.07,47.83,11.27,47.37,11.07,12.17,38,26.4,42.67,74.13,22,11-0238,3988,128,12.7,41.8,1.72,-0.35,1.982,-0.427,1.7,-0.4,1.645,-0.258,1.46,-0.24,VICL,none,Carbopol/Veegum
ISRM 11,Dove Sparrow / Giant/Dove Visible Effects Body Lotion,58.7,0.759,1.103,25,0,0,0.138,3.5,7.75,2,0,1.05,100,37.52,39.29,49.26,61.12,6.99,16.09,9.94,43.07,15.38,16.16,68.51,18.23,25.56,40.53,56.48,1549,41,11.1,32.2,41.4,15.03,33.6,36.33,62.87,9.8,17.33,9.73,38.67,20.6,21.1,73.77,15.73,28.2,35.03,66.59,11-0238,714,14,8,28,-0.71,0.14,-0.736,0.235,-0.69,0.35,-0.197,-0.455,-0.03,-0.46,VICL,none,Carbopol/Simulgel
ISRM 12,Icing Elastomer Invert Day,47.37,0.18,0,10.3,0,0,26,10.3,1.95,2.5,0.72,0.68,100,34.93,43.99,28.79,61.58,12.56,25.6,11.05,37.1,33.02,34.66,58.68,12.38,30.39,49.6,46.82,2187,28,9.6,19.1,42.5,57.32,46.43,29.33,64.6,10.37,18.73,11.3,34.87,18.9,22.3,60.93,12.5,20.93,49.33,45.03,11-0238,1434,19,10.2,29.1,-0.36,0.38,0.045,0.674,0.08,0.79,0.034,1.492,0.21,1.45,invert,9045,none
ISRM 13,Icing Eye Cream,10,11.35,0,15.3,0,0,45.57,4.63,1.25,11.7,0,0.2,100,35.16,40.16,23.51,54.24,13.84,28.27,11.8,36.42,38.98,44.65,59.86,14.52,28.19,46.01,28.49,2783,14,0.1,12.2,33.93,1.51,48.53,24.7,55.77,11.33,26,8.73,41.23,28.9,36.33,49.33,11.33,23.63,53.57,20.37,11-0238,2298,38,2.4,20.9,0.55,1.72,0.787,1.857,0.64,1.78,0.186,2.263,0.37,2.05,invert,9045,none
ISRM 14,Pond's Age Defense ,66.2,8.5,0.25,5,0,0,0,9.45,6,3,1,0.6,100,42.04,44.11,51.63,61.89,9.86,20.53,10.62,41.67,17.96,18.07,66.15,9.79,27.95,44.48,57.35,1049,29,12.7,30.7,40.67,1.89,47.23,60.67,59.5,6.13,17.17,8.7,51.13,11.93,11.9,55.67,18.53,36.3,51.27,38.27,11-0238,2687,66,12.7,36.4,0.8,-1,0.74,-0.94,0.6,-1.09,-0.061,-0.378,0.11,-0.37,VICL,none,Aristoflex
ISRM 15,Ponds Double White Night Lotion ,81.53,0,1.01,8.39,0,0,0,3.3,2.2,0,2.8,0.77,100,37.91,25.59,45.19,73.41,6.89,15.9,9.89,23.18,17.65,13.96,77.72,11.49,35.38,28.55,76.6,974,32,14.6,32.5,44.07,37.9,21,47.17,77.5,5.1,11.27,10.5,11.17,12.7,11.72,84.4,14.73,40.07,17.4,82.5,11-0238,260,2,13,36.7,-2.8,-1.67,-1.918,-1.059,-2.75,-1.26,-1.326,-0.544,-1.49,-0.56,other,none,Sepigel/Veegum/xanthan
ISRM 16,Ponds Fine Pore Moisturizer ,46.137,3.5,0.75,3.5,0,0,39.4,0.65,0.758,4.3,0.58,0.425,100,31.85,37.64,23.05,58.11,10.09,21.35,11.17,34.22,39.68,42.82,71.07,8.95,22.34,37.06,57.35,2238,20,6.7,11.3,36.73,23.8,34.5,17.17,57.33,10.83,24.43,10.8,34.37,51.67,60.86,75.27,10.6,25.57,35,63.1,11-0238,2393,30,6,0.6,-0.94,2.54,-1.029,2.949,-1.08,2.6,-0.694,2.019,-0.62,1.87,silky,Gransil,Sepigel
ISRM 17,Ponds Masstige Upper Eye Cream,0,16.8,0,0,0,0,75,6.2,0.1,1.4,0,0.5,100,37.98,35.35,16.36,54.08,23.4,43.11,13.12,30.86,55.32,59.15,58.68,6.24,16.95,51.42,15.78,6207,36,0,8.9,36.78,1.43,35.2,15.37,50,19.87,40.07,11.23,40.07,60,68.96,55.23,7.2,20.67,52.6,10.9,11-0238,7800,61,0,9.6,0.52,3.57,0.538,4.073,0.46,3.51,0.314,3.581,0.49,2.88,invert,9045,none
